   saṅkalpa-kalpa-druma	saFkalpa--kalpa-druma
   januṣi madhu-ṛtoḥ kumāra-bhāve taruṇimani pravayastayā ca yoge |	januzi maDu-RtoH kumAra-BAve taruNimani pravayaH-tayA ca yoge |
   dayita-dayitayor vasanta-rāga-prabhṛti-kalā lasati sma śāmyati sma ||2||	dayita--dayitayoH vasanta-rAga--praBRti-kalA lasati sma SAmyati sma ||2||
   tad idam ṛtuṣu ṣaṭsu rucyabhedāt pṛthag anuvarṇanam iṣyate tathā hi |	tat idam Rtuzu zawsu rucya-BedAt pRTak anuvarNanam izyate taTA hi |
   harir iha vihṛtipracāracaryāṃ vidadhad avarṇayad eṣa tarhi tarhi ||3||	hariH iha vihRti-pracAra-caryAm vidaDat avarNayat eza tarhi tarhi ||3||
   prathamam iha śṛṇuṣva citta vākyaṃ	praTamam iha SRNuzva citta vAkyam
   kvaca niśi yat prabhum āha hāri rādhā |	kva-ca niSi yat praBum Aha hAri rADA |
   atha kalaya harer vacaś ca tasyām	aTa kalaya hareH vacaH ca tasyAm
   amṛtavad antaraśantamasya dātṛ ||4||	amRta-vat antara-Santam-asya dAtR ||4||
   "ahaha vanavanaṃ nidāghadagdhasthalam aṭasi svavapuḥ prapīdya rukṣaḥ2 |	"ahaha vana-vanam nidAGa-dagDa-sTalam awasi sva-vapuH prapIdya rukzaH2 |
   murahara tava cintanena jīrṇān katham avitāsi janān idaṃ na jāne ||"5||	mura-hara tava cintanena jIrNAn kaTam avitAsi janAn idam na jAne ||"5||
   idam abhihitam ākalayya kṛṣṇaḥ smitavadanaḥ svayam āha yat tu rādhām |	idam aBihitam Akalayya kRzNaH smita-vadanaH svayam Aha yat tu rADAm |
   tad avakalaya citta vittam etat tava bahuvṛttipadaṃ bhavisyad asti ||6||	tat avakalaya citta vittam etat tava bahu-vRtti-padam Bavisyat asti ||6||
   "ahaha sumukhi nedam anyad ūhyaṃ tapaṛtum anv api tatra citratāsti |	"ahaha su-muKi na-idam anyat Uhyam tapaRtum anu api tatra citra-tA-asti |
   kvaca sa hi madhuvat kvacāpi varṣāvad anubhavaṃ dadate svayaṃ kvacāpi	kva-ca sa hi maDu-vat kvaca-api varzA-vat anuBavam dadate svayam kva-cApi
   vanam iha yad anūpam asti tasmin madhur iva bhāti nidāghakāla eṣaḥ |	vanam iha yat anUpam asti tasmin maDuH iva BAti nidAGa-kAle ezaH |
   nirudakataruṇi svayaṃ nidāghaḥ kṣitidharanirjharabhājivārṣikaśrīḥ ||8||	nirudaka-taruNi svayam nidAGaH kzitiDara-nirJara-BAji-vArzika-SrIH ||8||
   mama samam amarībhir atra vṛndā nikhilavanaṃ paritaḥ pariṣkaroti |	mama samam amarIBiH atra vRndAH niKila-vanam paritas parizkaroti |
   yad aharahar ahaṃ bhavatyā saha sahacāribhir apy alaṃ bhajāmi ||9||	yat aharahar aham BavatyA saha sahacAriBiH api alam BajAmi ||9||
   sumadhuranavanārikelanīraṃ tadupamatālaphalāmbu cāsya3 majja |	su-maDura-nava-nArikela-nIram tad-upama-tAla-Pala-ambu ca-Asya3 majja |
   upahṛtam iha vṛndayā satṛṣṇe sakhisahite mayi tṛptim ādadhīta ||10||	upahRtam iha vRndayA sa-tRzNe saKi-sahite mayi tRptim AdaDIta ||10||
   sa panasasahakāragostanīnāṃ	sa panasa-sahakAra-gostanInAm
   rasavasanaṃ racayāmy ahaṃ samitraḥ |	rasa-vasanam racayAmi aham sa-mitraH |
   tvadadharamadhu māṃ tu tatra citraṃ	tvad-aDara-maDu mAm tu tatra citram
   smarayati sāndratayā svam eva subhru ||11||	smarayati sAndra-tayA svam eva suBru ||11||
   atha vayam api tāṃ vihārabhūmiṃ tava kalayāma yadi tvadīyam iṣṭam |"	aTa vayam api tAm vihAra-BUmim tava kalayAma yadi tvadIyam izwam |"
   1. (b) not found; the following verse is placed after atha etc.; 2. (a)	1. (b) na-ut found; Te fa-ullowinc verse iH placet afteH aTa ed-c.; 2. (a)
   rukṣaḥ; 3.. (a) margin: cālpa; iti vṛṣaravijādibhiḥ pradiṣṭas tvaritam	rukzaH; 3.. (a) margin: ca-alpa; iti vRzaravija-AdiBiH pradizwaH tvaritam
   amūbhir amūṃ hariḥ pratasthe ||12||	amUBiH amUm hariH pratasTe ||12||
   prathamam abhiyayau vasantavantaṃ vipinaviśeṣam atha pradeśam anyam |	praTamam aBiyayO vasantavantam vipina-viSezam aTa pradeSam anyam |
   anubhavatulayānubhāvayaṃś ca pravadati sa sma sanarmasuṣṭhu vācam ||13||	anuBava-tulayA-anuBAvayan ca pravadati sa sma sa-narma-suzWu vAcam ||13||
   ahani vayam amūṃ nirīkṣya subhru varasaritaṃ purataḥ samaṃ sajantaḥ |	ahani vayam amUm nirIkzya suBru vara-saritam puratas samam sajantaH |
   nijanijadhavalās tu pāyayitvā viharaṇam atra suhṛdbhir ācarāma ||14||	nija-nija-DavalAH tu pAyayitvA viharaNam atra suhRdBiH AcarAma ||14||
   śaśimukhi śucimāsi madhyamadhyaṃ dinam anu mandiratulyaśailagarbhe |	SaSi-muKi Suci-mAsi maDya-maDyam dinam anu mandira-tulya-SEla-garBe |
   jharanikaraparītapārśvadeśe saha bhavatīkam ahaṃ mudā śayiṣye ||15||	Jara-nikara-parIta-pArSva-deSe saha BavatIkam aham mudA Sayizye ||15||
   savitṛduhitṛtuṅgatīragarbhe śaśimaṇidhāmani kuñjapuñjarāji |	savitR-duhitR-tuFga-tIra-garBe SaSimaNi-DAmani kuQja-puQja-rAji |
   anurahasam ahar vrajāntarantaḥ saha bhavatīkam ahaṃ mudāśrayiṣye ||16||	anurahasam ahar vraja-antarantaH saha BavatIkam aham mudA-ASrayizye ||16||
   vayam iha sariti draveṇa gatvā viharaṇaṃ narmasaśarmatāṃ nayāma |	vayam iha sariti draveNa gatvA viharaNam narma-saSarma-tAm nayAma |
   iti vṛṣaravijāṃ vidhṛtya bāhāv aparasakhīsahitāṃ ca calann uvāca ||17||	iti vRza-ravijAm viDRtya bAhO apara-saKI-sahitAm ca calan uvAca ||17||
   nikaṭanikaṭatāṃ calaṃs taṭinyā	nikawa-nikawa-tAm calan tawinyA
   nirudakamātrapadaṃ kramāt tyajaṃś ca |	nirudaka-mAtra-padam kramAt tyajan ca |
   "tapamadhunṛparāṣṭrayugmamadhyaṃ	"tapa-maDu-nRpa-rAzwra-yugma-maDyam
   gatam iva candramukhi svam atra paśya ||18||	gatam iva candra-muKi svam atra paSya ||18||
   iha kamalavanāni tāpaśīrṇāny api kamalāni kiyanti dhārayanti |	iha kamala-vanAni tApa-SIrNAni api kamalAni kiyanti DArayanti |
   tata iha sariti praviśya yūyaṃ vayam api tāni vicitya cāru cinmaḥ ||19||	tatas iha sariti praviSya yUyam vayam api tAni vicitya cAru cit-maH ||19||
   muhur iha paritaḥ samāvrajantaḥ sariti rasaprasaraṃ gaveṣayantaḥ |	muhur iha paritas samAvrajantaH sariti rasa-prasaram gavezayantaH |
   navanavatanayāya padminīnāṃ stanam iva vāriruhaṃ duhanti bhṛṅgāḥ ||"20||	nava-nava-tanayAya padminInAm stanam iva vAriruham duhanti BRFgAH ||"20||
   iti vanavalitaṃ chalaṃ vidhāya vrajasumukhīḥ saritaṃ praveśyamānā. |	iti vana-valitam Calam viDAya vrajasu-muKIH saritam praveSyamAnA. |
   kamalacayanalakṣyataḥ svavāñchālasitavaśāḥ1 sa cakāra tatra tatra ||21||	kamala-cayana-lakzyataH svavAn-CAlasita-vaSAH1 sa cakAra tatra tatra ||21||
   "kamalam idam aho mayā tu labdhaṃ kanakaruciprathitaṃ tvayā tu nīlam |"	"kamalam idam aho mayA tu labDam kanaka-ruci-praTitam tvayA tu nIlam |"
   iti vividhamiṣaṃ parasparaṃ tāḥ samam ajitena vihārasāram īyuḥ ||22||	iti viviDa-mizam parasparam tAH samam ajitena vihAra-sAram IyuH ||22||
   hṛdi kim u kamalaṃ lalāga kiṃ vā harikara ity amukā viśaṅkamānāḥ |	hRdi kim u kamalam lalAga kim vA hari-karaH iti amukAH viSaFkamAnAH |
   vrajajanisudṛśas tadā navīnāḥ sapulakaśītkṛtikāritām avāpuḥ ||23||	vraja-jani-sudRSaH tadA navInAH sa-pulaka-SItkRti-kAritAm avApuH ||23||
   atha vihasati tatra jihmanetrā murajiti cikṣipur āyudhābham ambhaḥ |	aTa vihasati tatra jihma-netrAH murajiti cikzipuH AyuDa-ABam amBaH |
   sa ca tad akṛta tāsu kintu tāsāṃ tadapagamaḥ kriyate sma tasya tena ||24||	sa ca tat akRta tAsu kintu tAsAm tad-apagamaH kriyate sma tasya tena ||24||
   harir asurasahasralakṣajetā svayam abalābhir ayaṃ vijetum iṣṭaḥ |	hariH asura-sahasra-lakza-jetA svayam abalABiH ayam vijetum izwaH |
   yad iha jayam avāpa tan na citraṃ yad atha jitas tad atīva citram atra	yat iha jayam avApa tat na citram yat aTa jitaH tat atIva citram atra
   yadapi ca jalasecanena kīrṇas tadapi parābhavam api nāghaśatruḥ |	yat-api ca jala-secanena kIrNaH tat-api parABavam api na-aGa-SatruH |
   iti bhrukuṭim adhāt tu vārṣabhānavy atha sa tu tatra babhūva citrakalpaḥ	iti Brukuwim aDAt tu vArzaBAnavi aTa sa tu tatra baBUva citra-kalpaH
   harim atha sakalābalāvilāsāl laghu jagṛhur jitakāśitāṃ dadhānāḥ |	harim aTa sakala-abalA-vilAsAt laGu jagRhuH jita-kASitAm daDAnAH |
   punar api hasitānunāpabhaṅgyā bahir avadhānam adhāpayan mṛgākṣyaḥ ||27||	punar api hasita-anunApa-BaFgyAH bahis avaDAnam aDApayan mRgAkzyaH ||27||
   avahitavati jīvanādhināthe vṛṣaravijā drutam asya karṣaṇāya |	avahitavati jIvana-aDinATe vRza-ravijAH drutam asya karzaNAya |
   taṭam aṭitavatīha2 kṛṣṇanāmāpy anugatatāṃ samavāpa rāgabaddhaḥ ||28||	tawam awitavati-iha2 kRzNa-nAmA-api anugata-tAm samavApa rAga-badDaH ||28||
   1. (a) ovaṣāḥ; 2. (a) aṭitavatīti	1. (a) ovazAH; 2. (a) awitavati-iti
   drutam atha paricārikā murāriṃ vṛṣaravijāṃ savayastatīr amūś ca |	drutam aTa paricArikA murArim vRza-ravijAm savayaH-tatIH amUH ca |
   mṛdu mṛdu vasanena mārjitāṅgān akṛṣata vastravarān adhārayaṃś ca ||29||	mRdu mRdu vasanena mArjita-aFgAn akRzata vastra-varAn aDArayan ca ||29||
   svayam atha vṛṣabhānujā svakāntaṃ mṛgamadakuṅkumacūrṇamarjitāṅgam |	svayam aTa vRzaBa-anujA sva-kAntam mRga-mada-kuFkuma-cUrNa-marjita-aFgam |
   sulaghu vidadhatī jahāra jāḍyaṃ bahir abahiḥ punar ājahāra jāḍyam ||30||	su-laGu vidaDatI jahAra jAxyam bahis abahis punar AjahAra jAxyam ||30||
   atha ghusṛṇaviśeṣakāṃśuyuktaṃ laghutaraveśaviśeṣaśobhimuktam |	aTa GusRNa-viSeza-ka-aMSu-yuktam laGutara-veSa-viSeza-SoBimuktam |
   akuruta vṛṣabhānujā svakāntaṃ sa ca rucitām akarod amūṃ nitāntam ||31||	akuruta vRzaBa-anujA sva-kAntam sa ca rucitAm akarot amUm nitAntam ||31||
   kramukasitakarāñciparṇavīṭīr adita sakhī harirādhayor mukhāntaḥ |	kramuka-sita-kara-aQci-parNa-vIwIH adita saKI hariH-ADayoH muKa-antaH |
   yugalam api tayoḥ sakhījanānām adhita sukhaprathanāya vaktramadhye ||32||	yugalam api tayoH saKI-janAnAm aDita suKa-praTanAya vaktra-maDye ||32||
   atha kamalakarāḥ sakāntakāntāḥ savilasitaṃ sadanāya gantukāmāḥ |	aTa kamala-karAH sa-kAntakAntAH sa-vilasitam sadanAya gantu-kAmAH |
   vijitakamalapatracārunetrā virurucire nikhilena khelitena ||33||	vijita-kamala-patra-cAru-netrAH virurucire niKilena Kelitena ||33||
   kvacid api hariṇā samaṃ vyadhus tāḥ puru kamalākamali prahāsayuktam |	kvacid api hariNA samam vyaDuH tAH puru kamalA-kamali prahAsa-yuktam |
   idam iha na vidus tu tena śaśvaj jitam akhilaṃ bhuvaneṣu kevalena ||34||	idam iha na viduH tu tena SaSvat jitam aKilam Buvanezu kevalena ||34||
   iti bahuvidhakhelamālayāntaṃ jagṛhur amūr amunā samaṃ samastāḥ |	iti bahuviDa-Kela-mAlayA-antam jagRhuH amUH amunA samam samastAH |
   tadanu ca varaniṣkuṭasthadhiṣṇyaṃ praviviśur āviviśuś ca tasya bhāsi	tadanu ca vara-nizkuwa-sTa-DizNyam praviviSuH AviviSuH ca tasya BAsi
   maṇisadanam idaṃ vṛtīr1 atītaṃ varasarasīsarasīruhālimadhyam |	maNi-sadanam idam vRtIr1 atItam vara-sarasI-sarasI-ruha-ali-maDyam |
   sukusumasukumāragarbhatūlīmiladupadhānaśubhaṃyumañjuśayyam2 ||36||	su-kusuma-sukumAra-garBa-tUlI-milat-upaDAna-SuBaMyumaQju-Sayyam2 ||36||
   sarucinihitatālavṛntabhṛṅgārakamukhaśarmadavastusaṃstutāṅgam |	sa-ruci-nihita-tAlavRnta-BRFgAraka-muKa-Sarma-da-vastu-saMstuta-aFgam |
   drutataram aviśad viśaṃś ca śayyām adhivasati sma hariḥ smitāṃśuśobhi	drutataram aviSat viSan ca SayyAm aDivasati sma hariH smita-aMSu-SoBi
   [yugmakam]	[yugmakam]
   tam atha kusumacāmaraṃ dadhānā vṛṣaravijā svayam eva sevate sma |	tam aTa kusuma-cAmaram daDAnA vRza-ravijA svayam eva sevate sma |
   anṛjudṛśam amuṃ balaṃ chalaṃ ca praṇayi sa tu praṇayan nināya śayyām	anRju-dRSam amum balam Calam ca praNayi sa tu praNayan ninAya SayyAm
   iyam api tata eva khedadambhād alasanibhasthititāṃ babhāja tasyām |	iyam api tatas eva Keda-damBAt alasa-niBa-sTiti-tAm baBAja tasyAm |
   tadanu savayasaḥ sacandratāmbūlakam anu śarma dadhus tayor dvayoś ca	tadanu savayasaH sa-candra-tAmbUlakam anu Sarma daDuH tayoH dvayoH ca
   tadanu tad anumāya tena tasyā rahasi mithaḥ sthitivāñchitaṃ vayasyāḥ |	tadanu tat anumAya tena tasyAH rahasi miTas sTiti-vAQCitam vayasyAH |
   samiṣam apagatāḥ kṣaṇaṃ tu kācin mṛdumardanam etayor vyadhatta ||40||	samizam apagatAH kzaNam tu kAcid mRdu-mardanam etayoH vyaDatta ||40||
   iyam api vigatā dvayasya nidrāṃ chalaracitāṃ chalam āracayya yat tu |	iyam api vigatAH dvayasya nidrAm Cala-racitAm Calam Aracayya yat tu |
   nayanayugalamīlanaṃ vihāya praṇayamayīm udamīmilan nijehām ||41||	nayana-yugala-mIlanam vihAya praNaya-mayIm udamImilat nija-ihAm ||41||
   iti bahuvidhākelibhir nidāghe vigatavati praviveśa vārṣikaśrīḥ |	iti bahuviDA-keliBiH nidAGe vigatavati praviveSa vArzika-SrIH |
   jaladavalayavidyutālilakṣmyā hariharidāratanūr vilāsam āpa ||42||	jalada-valaya-vidyutA-ali-lakzmyA hari-hari-dAra-tanUH vilAsam ApaH ||42||
   rucim iha kalayan vrajeśasūnur niśi niśi varṇayituṃ ruciṃ jagāma |	rucim iha kalayan vraja-ISa-sUnuH niSi niSi varNayitum rucim jagAma |
   idam avadadhatī ca vārṣabhānavy api savayastatir udyad ullalāsa ||43||	idam avadaDatI ca vArzaBAnavi api savayaH-tatiH udyat ullalAsa ||43||
   iti ghanasamayasphuṭaprabhāte nijajananīhitaṃ payaḥ kṛtānnam |	iti Gana-samaya-sPuwa-praBAte nija-jananI-hitam payaH kRtAnnam |
   maricavalitam uṣṇam īṣad aśnann aham anurāmamukhaṃ sukhaṃ bhajāmi ||44||	marica-valitam uzNam Izat aSnan aham anurAma-muKam suKam BajAmi ||44||
   mama janitithir eṣyatīha bhādre vrajajanaśarma ca tena sārdham aṅga |	mama janitiTiH ezyati-iha BAdre vraja-jana-Sarma ca tena sArDam aFga |
   dvayam api yad idaṃ jaganti dhinvan purataraparva taniṣyati prahṛṣya	dvayam api yat idam jaganti Dinvan puratara-parva tanizyati prahRzya
   1. (b) ovṛter; 2. (b) ośayyām	1. (b) ovRter; 2. (b) oSayyAm
   gṛhaśikharaśikhām athādhirūḍhāḥ kalayata niśy api goṣṭhavanyadhāma |	gRha-SiKara-SiKAm aTa-aDirUXAH kalayata niSi api gozWa-vanya-DAma |
   pratilavataḍidālidīptibhūmnā dina iva sarvam idaṃ muhur vibhāti ||46||	pratilava-taxi-dAli-dIpti-BUmnA dinaH iva sarvam idam muhur viBAti ||46||
   nabhasi jaladavidyudālilakṣmīr bhuvi haritaḥ sphurad indragopakāntiḥ |	naBasi jalada-vidyut-Ali-lakzmIH Buvi haritaH sPurat indragopa-kAntiH |
   madanugabhavatīva kānanaśrītatim anupaṣakatāṃ sakhi prayāti ||47||	mad-anugaBavati-iva kAnana-SrItatim anupazaka-tAm saKi prayAti ||47||
   sthalakulam iha kūrmapṛṣṭhatulyaṃ nayanagatipradaratnaveśamadhyam |	sTala-kulam iha kUrma-pRzWa-tulyam nayana-gati-pradaratna-veSa-maDyam |
   vitatam abhinavaprarūḍhatārṇaṃ pari dhavalāgaṇapālanaṃ karomi ||48||	vitatam aBinava-prarUXa-tA-arNam pari DavalA-gaNa-pAlanam karomi ||48||
   girivaraśirasi vyudastapārśvāvṛtimaṇisadmani labdhadhenudṛṣṭiḥ |	giri-vara-Sirasi vyudasta-pArSva-AvRti-maNi-sadmani labDa-Denu-dRzwiH |
   bahuvidhaśatarañjamukhyakhelā vidadhad ahaṃ sakhibhiḥ sukhaṃ prayāmi	bahuviDa-SataraQja-muKya-KelAH vidaDat aham saKiBiH suKam prayAmi
   sravati salilam ambude tarūṇāṃ kuharagṛhe rasayan phalaṃ sakandam |	sravati salilam ambude tarUNAm kuhara-gRhe rasayan Palam sa-kandam |
   upasalilaśilāsanaḥ sadannaṃ dadhisahitaṃ sakhibhir vibhaktam aśnan ||50||	upasalila-SilA-AsanaH sat-annam daDi-sahitam saKiBiH viBaktam aSnan ||50||
   kvacid api girimūrdhni dhenuhūtiṃ vidadhad amūś ca mudā niviśya paśyan |	kvacid api giri-mUrDni Denu-hUtim vidaDat amUH ca mudA niviSya paSyan |
   adhi vaḍabhigatābhir īkṣaṇīyaḥ satatam ahaṃ bhavatībhir atra tatra ||51||	aDi vaxaBi-gatABiH IkzaNIyaH satatam aham BavatIBiH atra tatra ||51||
   [yugmakam]	[yugmakam]
   iha vahati kadambanīpayūthīśavalitaketakagandhasandhavātaḥ |	iha vahati kadamba-nIpa-yUTI-Savalita-ketaka-ganDa-sanDavAtaH |
   anubhavasaviviktataṃ ca yadvat tava mama cānubhavanti gandham alpam1	anuBavasa-viviktatam ca yadvat tava mama ca-anuBavanti ganDam alpam1
   yadi pulakakulākulāsi kṛṣṇaṃ kanakapaṭaṃ paṭu māṃ nirīkṣya bhadre |	yadi pulaka-kula-AkulAsi kRzNam kanakapawam pawu mAm nirIkzya Badre |
   ghanataḍidudayād vivardhamānāṅkuradharanītulanāṃ tadā prayāsi ||53||	Gana-taxit-udayAt vivarDamAna-aFkura-Dara-nI-tulanAm tadA prayAsi ||53||
   ghanasamayam anudhvaniṃ plavādyā vidadhati te ca ghanā muhus tam atra |	Gana-samayam anuDvanim plava-AdyAH vidaDati te ca GanAH muhur tam atra |
   niśamayitum amuṃ parasparaṃ ye sphuṭam aniśaṃ racayanti suṣṭhu puṣṭam	niSamayitum amum parasparam ye sPuwam aniSam racayanti suzWu puzwam
   jaladam anu kaniṣṭhamadhyamukhyāḥ plavaśikhicātakanāmakāḥ prapannāḥ |	jaladam anu kanizWa-maDya-muKyAH plava-SiKi-cAtaka-nAmakAH prapannAH |
   taratamavidhinā tadekanandi dvayam aparas tu tadekajīvijīvaḥ ||55||	taratama-viDinA tat-ekanandi dvayam aparaH tu tat-eka-jIvi-jIvaH ||55||
   aham api tad idaṃ vilokamānaḥ kila vimṛśāmi nijān ananyabhaktān |	aham api tat idam vilokamAnaH kila vimRSAmi nijAn ananya-BaktAn |
   yadanu ca bhavadīyavṛndam etat paramatayā mama cittam āviveśa ||"56||	yat-anu ca BavadIya-vRndam etat parama-tayA mama cittam AviveSa ||"56||
   iti vadati harau papāta vṛṣṭir visṛmaraśīkarabhāk tataś ca mukhyaḥ |	iti vadati harO papAta vRzwiH visRmara-SIkara-BAj tatas ca muKyaH |
   paṭakuṭam adadhur dvayasya khaṭṭām anu paritaḥ sadanaṃ paṭāvṛtaṃ ca ||57||	pawa-kuwam adaDuH dvayasya KawwAm anu paritas sadanam pawa-AvRtam ca ||57||
   bahir anu ghanagarjitaṃ savarṣaṃ gṛham anu talpavareṇyam alpaśītam |	bahis anu Gana-garjitam sa-varzam gRham anu talpa-vareNyam alpa-SItam |
   tadanu vasitaśastavastram etanmithunam anusmara citta gaurakṛṣṇam ||58||	tadanu vasitaSasta-vastram etat-miTunam anusmara citta gOra-kRzNam ||58||
   iti bahuvidhasukhakhelayā prayāte ghanasamaye śaradā jagāma tāṃ ca |	iti bahuviDa-suKa-KelayA prayAte Gana-samaye SaradA jagAma tAm ca |
   sphuṭam avakalayan purāvad ākhyad vṛṣaravijāṃ murajin niśi krameṇa ||59||	sPuwam avakalayan purAvat AKyat vRza-ravijAm murajit niSi krameNa ||59||
   aharahar udaye śarat śaratpraveśe nijajananīnihitaṃ payaḥ kṛtānnam |	aharahar udaye Sarad Sarad-praveSe nija-jananI-nihitam payaH kRtAnnam |
   sahasuhṛd upabhujya2 dhenusaṅgād vanakalitaṃ bhavatīṃ vivicya vacmi ||60||	saha-suhRd upaBujya2 Denu-saFgAt vana-kalitam BavatIm vivicya vacmi ||60||
   vahad anunavam abhram acchabhāvaṃ praṇidadhatī kṣitir ātmanānucakre |	vahat anunavam aBram acCa-BAvam praNidaDatI kzitiH AtmanA-anucakre |
   taducitam upajīvanīyabhāve mayi bhavatī bhavatīdṛg eva subhrū ||61||	tat-ucitam upajIvanIya-BAve mayi BavatI Bavati-idRS eva suBrU ||61||
   taḍidanuvalane gate payodād bata iti mānam ite tathā payode |	taxit-anuvalane gate payodAt bata iti mAnam ite taTA payode |
   tvadapagamadaśāṃ nijāṃ purāṇīṃ muhur aham asya tulām anusmarāmi ||62||	tvad-apagama-daSAm nijAm purANIm muhur aham asya tulAm anusmarAmi ||62||
   1. (a) alpaḥ; 2. (a) upayujya atha yadi kalayāmi tīranīravrajam anu	1. (a) alpaH; 2. (a) upayujya aTa yadi kalayAmi tIra-nIravrajam anu
   khañjanahaṃsakañjakāntim |	KaQjana-haMsa-kaQja-kAntim |
   varatanu bhavadāgatiṃ vitarkya bhramadaśayā bata vibhramaṃ prayāmi ||63||	vara-tanu Bavat-Agatim vitarkya BramadaSayA bata viBramam prayAmi ||63||
   abhilaṣati madīyakeliśikṣāgurum iyam acyutavallabhākṣilakṣmīm |	aBilazati madIya-keli-SikzA-gurum iyam acyuta-vallaBa-akzi-lakzmIm |
   iti kila kamalāvalīṃ vidhūtām uru śapharīnikaraś carīkarīti ||64||	iti kila kamala-AvalIm viDUtAm uru SaParI-nikaraH carIkarI-iti ||64||
   jalam anuparamācchatāṃ nirīkṣya kṣaṇam anusandadhad antaraṃ yadāsmi1 |	jalam anuparamAcSatAm nirIkzya kzaNam anusandaDat antaram yadA-asmi1 |
   pratiphalitam iha svam īkṣamāṇas tava manasā tulanām anusmarāmi ||65||	pratiPalitam iha svam IkzamANaH tava manasA tulanAm anusmarAmi ||65||
   navanavapulinaṃ nirīkṣya tat tat padadalanāṃ viniṣidhya tatra cāham |	nava-nava-pulinam nirIkzya tat tat pada-dalanAm viniziDya tatra ca-aham |
   manasi vinidadhe sma hetum anyaṃ vacasi tad anyam idaṃ tvam eva vetsi	manasi vinidaDe sma hetum anyam vacasi tat anyam idam tvam eva vetsi
   pathi pathi kusumaṃ vicitya śaśvat kusumamayaṃ dhanurādikaṃ vidhāya |	paTi paTi kusumam vicitya SaSvat kusuma-mayam DanuH-Adikam viDAya |
   pulinakulam adaḥ prapadya tasmin kusumaśarāya vayaṃ baliṃ dadāma ||67||	pulina-kulam adaH prapadya tasmin kusuma-SarAya vayam balim dadAma ||67||
   kumudamukulam alpam alpanālaṃ śaratulitaṃ viracayya śilpaśāli |	kumuda-mukulam alpam alpa-nAlam Sara-tulitam viracayya Silpa-SAli |
   dhanur api navaketakasya parṇān tricaturayogadṛḍhān dṛḍhaṃ sṛjāmaḥ ||68||	DanuH api nava-ketakasya parNAn tricatura-yoga-dRXAn dRXam sRjAmaH ||68||
   iti harir acalat priyāsahāyaḥ kusumacitiṃ vidadhad vicitrakeli |	iti hariH acalat priyA-sahAyaH kusuma-citim vidaDat vicitra-keli |
   pṛthutanuviṣamacchadāṃs tanīyas tanulatikābhir itasmitān jahāsa ||69||	pRTu-tanu-vizama=-CadAn tanIyaH tanu-latikABiH ita-smitAn jahAsa ||69||
   atha pulinam asāv apaśyad indoḥ pratitanuvat pulinasya tadvadindum |	aTa pulinam asO apaSyat indoH pratitanu-vat pulinasya tadvat-indum |
   kutukarasavaśād viśaṃś ca tasmin svam amṛtasiktanibhaṃ vidan nananda	kutuka-rasa-vaSAt viSan ca tasmin svam amRta-sikta-niBam vidan nananda
   avadad atha sakhītatir mukundaṃ "kusumaśaraḥ kva nu yaṃ prapūjayāmaḥ" |	avadat aTa saKI-tatiH mukundam "kusuma-SaraH kva nu yam prapUjayAmaH" |
   harir avadad "ahaṃ sa eva sākṣād iti mama pūjanam eva tasya viddhi ||71||	hariH avadat "aham saH eva sAkzAt iti mama pUjanam eva tasya vidDi ||71||
   yadi kusumaśarasya śaktim asmin mayi manuṣe natarāṃ tadālivargaḥ |	yadi kusuma-Sarasya Saktim asmin mayi manuze natarAm tadA-Ali-vargaH |
   mama kusumaśarān sahasva sākṣād" iti kalayan sa tu kampate sma vargaḥ	mama kusuma-SarAn sahasva sAkzAd" iti kalayan sa tu kampate sma vargaH
   atha vṛṣaravijāvadan "murāre śatrum iha bhaumayudhi tvam eka eva |	aTa vRza-ravija-avadan "murAre Satrum iha BOma-yuDi tvam ekaH eva |
   parabalabahukoṭiśastram asyan jayam abhajatas tad idaṃ nicāyayasva2 ||73||	para-bala-bahu-kowi-Sastram asyan jayam aBajataH tat idam nicAyayasva2 ||73||
   upaparisaram asya tarhi sarvāḥ kusumaśarān kirann amūr asaṅkhyān |	upaparisaram asya tarhi sarvAH kusuma-SarAn kiran amUH asaFKyAn |
   abhinad ayam amūn śarān amūṣāṃ kusumaśarair uta kañcukāny avidhyat ||74||	aBinat ayam amUn SarAn amUzAm kusuma-SarEH uta kaQcukAni aviDyat ||74||
   harim atha jitakāśinaṃ babhāṣe hariramaṇīvitatiḥ smitaṃ dadhānā |	harim aTa jita-kASinam baBAze hari-ramaNI-vitatiH smitam daDAnAH |
   "vayam iha yuvatījanās tad asmatparicitam eva vihāram ādiśasva ||"75||	"vayam iha yuvatI-janAH tat asmad-paricitam eva vihAram AdiSasva ||"75||
   harir atha vihasan jagāda "yūyaṃ bharatamataṃ prati rājathātivijñāḥ |	hariH aTa vihasan jagAda "yUyam Barata-matam prati rAjaTa-ativijQAH |
   tad anusarata gītavādyanṛtyaṃ mama bhavatībhir udetu tāratamyam ||"76||	tat anusarata gIta-vAdya-nRtyam mama BavatIBiH udetu tAratamyam ||"76||
   drava iva harigānataḥ śilādyaṃ hariramaṇījanasīmakaṃ babhūva |	dravaH iva hari-gAnataH SilA-Adyam hari-ramaNI-jana-sImakam baBUva |
   harir ajani kathañcanāpi dhīraḥ sa ca na tathājani gānatas tu tāsām ||77||	hariH ajani kaTaQcanA-api DIraH sa ca na taTA-ajani gAnataH tu tAsAm ||77||
