   Toḍalatantra, Prathamaḥ paṭalaḥ	Toxala-tantra, PraTamaH pawalaH
   tathā pañcākṣaraṃ paśya brahmaviṣṇuśivātmakam /	taTA paQcAkzaram paSya brahma-vizNu-Siva-Atmakam /
   śaktirūpaṃ nirākāraṃ tathā pañcākṣareṇa tu // ToT_6.54 //	Sakti-rUpam nirAkAram taTA paQcAkzareNa tu // ToT_6.54 //
   yathā pañcākṣarī vidyā tathā vidyā ṣaḍakṣarī /	yaTA paQcAkzarI vidyA taTA vidyA zaz-akzarI /
   tathaiva ṣoḍaśī vidyā tathā vidyā ca vyakṣarī // ToT_6.55 //	taTA-eva zoxaSI vidyA taTA vidyA ca vyakzarI // ToT_6.55 //
   tathaivāṣṭākṣarī vidyā tathā navākṣarī parā /	taTA-eva-azwa-akzarI vidyA taTA nava-akzarI parA /
   māhātmyaṃ dhyānapūjāyāṃ bhedo nāsti sureśvari // ToT_6.56 //	mAhAtmyam DyAna-pUjAyAm BedaH na-asti sureSvari // ToT_6.56 //
   atisnehena deveśi kiṃ mayā na prakāśitam /	atisnehena deveSi kim mayA na prakASitam /
   prāṇānte'pi paśoragre vaikharīṃ na prakāśayet // ToT_6.57 //	prANAnte-api paSoH-agre vEKarIm na prakASayet // ToT_6.57 //
   Toḍalatantra, Saptamaḥ paṭalaḥ	Toxala-tantra, SaptamaH pawalaH
   śrīdevī uvāca	SrI-devI uvAca
   mahāyogamayī devī khecarī paramā kalā /	mahA-yoga-mayI devI KecarI paramA kalA /
   yogajñānaṃ vinā siddhir nāsti satyaṃ sureśvara // ToT_7.1 //	yoga-jQAnam vinA sidDiH na-asti satyam sureSvara // ToT_7.1 //
   brūhi me devadeveśa kṣudrabrahmāṇḍamadhyataḥ /	brUhi me devadeveSa kzudra-brahmANxa-maDyatas /
   kimādhāre sthitā nātha saptadvīpā vasuṃdharā // ToT_7.2 //	kimADAre sTitA nATa sapta-dvIpA vasuMDarAH // ToT_7.2 //
   samudrasaptakaṃ nātha kimākāraṃ pratiṣṭhati /	samudra-saptakam nATa kim-AkAram pratizWati /
   mūlādhāre mahīcakre saṃsthitā mānavādayaḥ // ToT_7.3 //	mUlADAre mahI-cakre saMsTitAH mAnava-AdayaH // ToT_7.3 //
   kṣudrarūpā janāḥ sarve kimākāreṇa saṃsthitāḥ /	kzudra-rUpAH janAH sarve kim-AkAreNa saMsTitAH /
   svakīyāṅgulimānena mārutaṃ kathaya prabho // ToT_7.4 //	svakIya-aFguli-mAnena mArutam kaTaya praBo // ToT_7.4 //
   śrīśiva uvāca	SrI-SivaH uvAca
   mūlādhāre sthitā devi saptadvīpā vasuṃdharā /	mUlADAre sTitA devi sapta-dvIpA vasuMDarA /
   valayākārarūpeṇa samudrāḥ sapta saṃsthitāḥ // ToT_7.5 //	valaya-AkAra-rUpeNa samudrAH sapta saMsTitAH // ToT_7.5 //
   jambudvīpaṃ madhyadeśe tadbāhye lavaṇāmbudhiḥ /	jambudvIpam maDyadeSe tad-bAhye lavaNa-ambuDiH /
   śākadvīpaṃ maheśāni tadbāhye dadhisāgaraḥ // ToT_7.6 //	SAkadvIpam maheSAni tad-bAhye daDi-sAgaraH // ToT_7.6 //
   tadbāhye śālmalīdvīpaṃ sāgaro dugdhatadbahiḥ /	tad-bAhye SAlmalI-dvIpam sAgaraH dugDa-tad-bahis /
   tadbāhye pāṭalādvīpaṃ tadbāhye tu jalāntakaḥ // ToT_7.7 //	tad-bAhye pAwalA-dvIpam tad-bAhye tu jala-antakaH // ToT_7.7 //
   pṛthivyāṃ vartate devi yadrūpā mānavādayaḥ /	pRTivyAm vartate devi yad-rUpAH mAnava-AdayaH /
   tena rūpeṇa deveśi mūlādhāre tu jantavaḥ // ToT_7.8 //	tena rUpeNa deveSi mUlADAre tu jantavaH // ToT_7.8 //
   ṣaṇṇavatyaṅgulaṃ devi mārutaṃ parikīrtitam /	zaNNavati-aFgulam devi mArutam parikIrtitam /
   mārtaṇḍasthitimānaṃ tu adhikaṃ parikīrtitam // ToT_7.9 //	mArtaNxa-sTiti-mAnam tu aDikam parikIrtitam // ToT_7.9 //
   śrīdevī uvāca	SrI-devI uvAca
   kiyad bhuvaṃ tu brahmāṇḍaṃ vada bhūtalavāsinaḥ /	kiyat Buvam tu brahmANxam vada BU-tala-vAsinaH /
   aṅgulyekena kiṃ mānaṃ kathayasva dayānidhe // ToT_7.10 //	aFgulI-ekena kim mAnam kaTayasva dayAniDe // ToT_7.10 //
   śrīśiva uvāca	SrI-SivaH uvAca
   aṅgulyekena deveśi sahasrābdaṃ prajāyate /	aFgulI-ekena deveSi sahasra-abdam prajAyate /
   ṣaṇṇavatisahasrābdaṃ bhaved bhūtalavāsinaḥ // ToT_7.11 //	zaNNavati-sahasra-abdam Bavet BU-tala-vAsinaH // ToT_7.11 //
   pādāṅguṣṭhādigulphāntaṃ priye randhrasahasrakam /	pAdAFguzWa-Adi-gulPa-antam priye ranDra-sahasrakam /
   randhraṃ candrasahasrābdaṃ gulphādijānusaṃdhiṣu // ToT_7.12 //	ranDram candra-sahasra-abdam gulPa-Adi-jAnu-saMDizu // ToT_7.12 //
   jānvādigudaparyantaṃ mānaṃ viṃśasahasrakam /	jAnu-Adi-guda-paryantam mAnam viMSa-sahasrakam /
   mūlādhārādiliṅgāntaṃ caturvarṣasahasrakam // ToT_7.13 //	mUlADAra-Adi-liFga-antam catur-varza-sahasrakam // ToT_7.13 //
   liṅgādinābhiparyantaṃ bhavedṛṣisahasrakam /	liFga-Adi-nABi-paryantam Bavet-Rzi-sahasrakam /
   nābhyādihṛdayāntaṃ ca grahasaṃkhyasahasrakam // ToT_7.14 //	nABi-Adi-hRdaya-antam ca graha-saMKya-sahasrakam // ToT_7.14 //
   hṛdādikaṇṭhaparyantam ṛṣisaṃkhyasahasrakam /	hRd-Adi-kaNWa-paryantam Rzi-saMKya-sahasrakam /
   viśuddhādikamājñāntaṃ mānaṃ rudrasahasrakam // ToT_7.15 //	viSudDa-Adikam-AjQA-antam mAnam rudra-sahasrakam // ToT_7.15 //
   ājñācakrācchivāntaṃ vai diksahasraṃ sureśvari /	AjQAcakrAt-Siva-antam vE diS-sahasram sureSvari /
   sūryasaṃkhyāsahasraṃ tu samīraścādhikaḥ smṛtaḥ // ToT_7.16 //	sUrya-saMKyA-sahasram tu samIraH-ca-aDikaH smRtaH // ToT_7.16 //
   śarīrasahakāreṇa hāso vṛddhiśca jāyate /	SarIra-sahakAreNa hAsaH vRdDiH-ca jAyate /
   ṣaḍguṇo ratikāle ca triguṇo bhojanādbahiḥ // ToT_7.17 //	zaxguNaH rati-kAle ca triguNaH BojanAt-bahis // ToT_7.17 //
   dhamane cāṣṭadhā proktaḥ samīro vṛddhitāṃ gataḥ /	Damane ca-azwaDA proktaH samIraH vRdDi-tAm gataH /
   sadguror upadeśena mantramārgeṇa pārvati // ToT_7.18 //	sat-guroH upadeSena mantra-mArgeNa pArvati // ToT_7.18 //
   yadi caikāṅgulaṃ hrasvaṃ sahasrābdaṃ sa jīvati /	yadi ca-eka-aFgulam hrasvam sahasra-abdam sa jIvati /
   evaṃ krameṇa deveśi samatā yadi vā bhavet // ToT_7.19 //	evam krameNa deveSi sama-tA yadi vA Bavet // ToT_7.19 //
   jitvā mṛtyuṃ maheśāni śambhuvad viharet kṣitau /	jitvA mRtyum maheSAni SamBu-vat viharet kzitO /
   ata eva maheśāni yonimudrā mayoditā // ToT_7.20 //	atas eva maheSAni yonimudrA mayA-uditA // ToT_7.20 //
   prāṇāyāmena deveśi tathaiva yonimudrayā /	prANAyAmena deveSi taTA-eva yonimudrayA /
   tathaivābhyāsayogena yadi vāyuḥ samo bhavet // ToT_7.21 //	taTA-eva-aByAsa-yogena yadi vAyuH samaH Bavet // ToT_7.21 //
   jitvā mṛtyuṃ maheśāni khecaro jāyate'cirāt /	jitvA mRtyum maheSAni KecaraH jAyate-acirAt /
   pramāṇaṃ kathitaṃ sarvaṃ manuṣyasya priyaṃvade // ToT_7.22 //	pramANam kaTitam sarvam manuzyasya priyaMvade // ToT_7.22 //
   śvāsocchvāsavikāsena kuṇḍalī gaganaṃ caret /	SvAsa-ucCvAsa-vikAsena kuNxalI gaganam caret /
   śrīdevī uvāca	SrI-devI uvAca
   idānīṃ pṛthivīmānaṃ vada me parameśvara // ToT_7.23 //	idAnIm pRTivI-mAnam vada me parameSvara // ToT_7.23 //
   saptasvargasthito yo yo yā yā śaktiḥ sthitā sadā /	sapta-svarga-sTitaH yaH yaH yA yA SaktiH sTitA sadA /
   tatsarvaṃ śrotumicchāmi yadi sneho'sti māṃ prati // ToT_7.24 //	tat-sarvam Srotum-icCAmi yadi snehaH-asti mAm prati // ToT_7.24 //
   śrīśiva uvāca	SrI-SivaH uvAca
   mūlādhāre mahīcakre saṃsthitā mānavādayaḥ /	mUlADAre mahI-cakre saMsTitAH mAnava-AdayaH /
   teṣāṃ mānena deveśi cārdhaṃ caiva dvisaptatiḥ // ToT_7.25 //	tezAm mAnena deveSi ca-arDam ca-eva dvisaptatiH // ToT_7.25 //
   dviguṇaḥ parameśāni tadbāhye lavaṇāmbudhiḥ /	dviguNaH parameSAni tad-bAhye lavaNa-ambuDiH /
   evaṃ krameṇa deveśi dviguṇaṃ parikīrtitam // ToT_7.26 //	evam krameNa deveSi dviguNam parikIrtitam // ToT_7.26 //
   ḍākinīsahito brahmā mūlādhāre tu sundari /	xAkinI-sahitaH brahmA mUlADAre tu sundari /
   rākiṇīsahito viṣṇuḥ svādhiṣṭhāne vyavasthitaḥ // ToT_7.27 //	rAkiNI-sahitaH vizNuH svADizWAne vyavasTitaH // ToT_7.27 //
   lākinīsahito rudro maṇipūre sureśvari /	lAkinI-sahitaH rudraH maNipUre sureSvari /
   anāhate mahāpadme kākinīsahito haraḥ // ToT_7.28 //	anAhate mahApadme kAkinI-sahitaH haraH // ToT_7.28 //
   viśuddhākhye vasennityā sākinī ca sadāśivaḥ /	viSudDa-AKye vaset-nityA sAkinI ca sadASivaH /
   hākinī paraśivo devaś cājñācakre sureśvari // ToT_7.29 //	hAkinI paraSivaH devaH ca-AjQAcakre sureSvari // ToT_7.29 //
   sahasrāre mahāpadme viśvarūpaḥ paraḥ śivaḥ /	sahasrAre mahApadme viSva-rUpaH paraH SivaH /
   mahākuṇḍalinī tatra sthitā nityā sureśvari // ToT_7.30 //	mahA-kuNxalinI tatra sTitA nityA sureSvari // ToT_7.30 //
   śrīdevī uvāca	SrI-devI uvAca
   kutra mūle mahāpīṭhe vartate parameśvara /	kutra mUle mahA-pIWe vartate parameSvara /
   mūlādhārādadhobhāge pātālaṃ kīdṛśaṃ prabho // ToT_7.31 //	mUlADArAt-aDoBAge pAtAlam kIdRSam praBo // ToT_7.31 //
   śrīśiva uvāca	SrI-SivaH uvAca
   mūlādhāre kāmarūpaṃ hṛdi jālaṃdharaṃ priye /	mUlADAre kAmarUpam hRdi jAlaMDaram priye /
   pūrṇagirim adhobhāge uḍḍīyānaṃ tadūrdhvake // ToT_7.32 //	pUrNa-girim aDoBAge uxxIyAnam tad-UrDvake // ToT_7.32 //
   vārāṇasī bhruvormadhye jvalantī locanatraye /	vArANasI BruvoH-maDye jvalantI locana-traye /
   māyāvatī mukhavṛtte kaṇṭhe cāṣṭapurī tathā // ToT_7.33 //	mAyAvatI muKa-vRtte kaNWe ca-azwa-purI taTA // ToT_7.33 //
   nābhimūle maheśāni ayodhyāpurī saṃsthitā /	nABi-mUle maheSAni ayoDyA-purI saMsTitA /
   kāñcīpīṭhaṃ kaṭīdeśe śrīhṛṭṭaṃ pṛṣṭhadeśake // ToT_7.34 //	kAQcI-pIWam kawI-deSe SrI-hRwwam pRzWa-deSake // ToT_7.34 //
   mūlādhārāt śataṃ caiva atalaṃ parikīrtitam /	mUlADArAt Satam ca-eva atalam parikIrtitam /
   sutalaṃ ca varṣaśataṃ talātalaśataṃ priye // ToT_7.35 //	sutalam ca varza-Satam talAtala-Satam priye // ToT_7.35 //
   ṛṣibāṇenduvarṣāntaṃ saṃsthitaṃ ca mahātalam /	Rzi-bANa-indu-varza-antam saMsTitam ca mahAtalam /
   śatadvayāntaṃ pātālaṃ dviśataṃ vai rasātalam // ToT_7.36 //	Sata-dvaya-antam pAtAlam dvi-Satam vE rasAtalam // ToT_7.36 //
   mūlādhārācca deveśi dve'ṅgulī cāntike sthite /	mUlADArAt-ca deveSi dve-aFgulI ca-antike sTite /
   tayormadhye ca pātālās tiṣṭhanti parameśvari // ToT_7.37 //	tayoH-maDye ca pAtAlAH tizWanti parameSvari // ToT_7.37 //
   iti te kathitaṃ kānte yogasāraṃ samāsataḥ /	iti te kaTitam kAnte yoga-sAram samAsatas /
   na vaktavyaṃ paśor agre prāṇānte'pi kadācana // ToT_7.38 //	na vaktavyam paSoH agre prANAnte-api kadAcana // ToT_7.38 //
   Toḍalatantra, Aṣṭamaḥ paṭalaḥ	Toxala-tantra, AzwamaH pawalaH
   śrīdevī uvāca	SrI-devI uvAca
   sārdhatrikoṭināḍīnām ālayaṃ ca kalevaram /	sArDa-tri-kowi-nAxInAm Alayam ca kalevaram /
   krameṇa śrotum icchāmi tad vadasva mayi prabho // ToT_8.1 //	krameNa Srotum icCAmi tat vadasva mayi praBo // ToT_8.1 //
   śrīśiva uvāca	SrI-SivaH uvAca
   lomni kūpe sapādārdha- koṭayaścaiva sundari /	lomni kUpe sa-pAda-arDa kowayaH-ca-eva sundari /
   hastāsye ca tadā pāde 'gnilakṣanāḍayaḥ sthitāḥ // ToT_8.2 //	hasta-Asye ca tadA pAde agni-lakzanAxayaH sTitAH // ToT_8.2 //
   udare ca tathā pāyau pañcalakṣāḥ prakīrtitāḥ /	udare ca taTA pAyO paQca-lakzAH prakIrtitAH /
   hṛdādisarvagātreṣu navalakṣāḥ prakīrtitāḥ // ToT_8.3 //	hRd-Adi-sarva-gAtrezu nava-lakzAH prakIrtitAH // ToT_8.3 //
   atha pārśve tathā carme tathaiva sarvasaṃdhiṣu /	aTa pArSve taTA carme taTA-eva sarva-saMDizu /
   rudrānnyūnaṃ sthitaṃ lakṣaṃ śarīre nāḍayaḥ priye // ToT_8.4 //	rudrAn-nyUnam sTitam lakzam SarIre nAxayaH priye // ToT_8.4 //
   iḍā ca piṅgalā caiva suṣumnā citriṇī tathā /	ixA ca piFgalA ca-eva suzumnA citriNI taTA /
   brahmanāḍī ca tanmadhye pañcanāḍyaḥ prakīrtitāḥ // ToT_8.5 //	brahma-nAxI ca tad-maDye paQca-nAxyaH prakIrtitAH // ToT_8.5 //
   kuhūś ca śaṅkhinī caiva gāndhārī hastijihvikā /	kuhUH ca SaFKinI ca-eva gAnDArI hasti-jihvikA /
   nardinī ca tathā nidrā rudrasaṃkhyā vyavasthitā // ToT_8.6 //	nardinI ca taTA nidrA rudra-saMKyA vyavasTitAH // ToT_8.6 //
   etā nāḍyaḥ pareśāni suṣumnāyāḥ prajāyate /	etAH nAxyaH pareSAni suzumnAyAH prajAyate /
   śrīdevī uvāca	SrI-devI uvAca
   vedākṣivasurandhrāstu bāṇasaṃkhyajalāntakāḥ /	veda-akzi-vasu-ranDrAH-tu bANa-saMKya-jala-antakAH /
   kimādhāre padmamadhye saṃsthitāḥ parameśvara // ToT_8.7 //	kimADAre padma-maDye saMsTitAH parameSvara // ToT_8.7 //
   śrīśiva uvāca	SrI-SivaH uvAca
   yogapadmasya māhātmyaṃ mayā vaktuṃ na śakyate /	yoga-padmasya mAhAtmyam mayA vaktum na Sakyate /
   mūlādhāre padmamadhye laṃbījaṃ cātiśobhanam // ToT_8.8 //	mUlADAre padma-maDye laM-bIjam ca-ati-SoBanam // ToT_8.8 //
   laṃbījasya bindumadhye pṛthvīcakraṃ manoharam /	laM-bIjasya bindu-maDye pRTvI-cakram manoharam /
   valayākārarūpeṇa samudrāḥ saptakāḥ sthitāḥ // ToT_8.9 //	valaya-AkAra-rUpeNa samudrAH saptakAH sTitAH // ToT_8.9 //
   śrīdevī uvāca	SrI-devI uvAca
   bindumānaṃ mahādeva kathayasva mayi prabho /	bindu-mAnam mahAdeva kaTayasva mayi praBo /
   krameṇa yogapadmasya pramāṇaṃ vada śaṃkara // ToT_8.10 //	krameNa yoga-padmasya pramANam vada SaMkara // ToT_8.10 //
   śrīśiva uvāca	SrI-SivaH uvAca
   paramāṇutribhāgaika- bhāgaṃ binduṃ suvistaram /	paramANu-tri-BAga-eka BAgam bindum su-vistaram /
   tanmadhye sāgarāḥ sarve saptadvīpā vasuṃdharā // ToT_8.11 //	tad-maDye sAgarAH sarve sapta-dvIpA vasuMDarAH // ToT_8.11 //
   avyayaṃ paramaṃ sūkṣmaṃ bindurūpaṃ paraṃ śivam /	avyayam paramam sUkzmam bindu-rUpam param Sivam /
   pramāṇaṃ cāsya devasya kiṃ vaktuṃ śakyate mayā // ToT_8.12 //	pramANam ca-asya devasya kim vaktum Sakyate mayA // ToT_8.12 //
   brahmalokaṃ pareśāni nādopari vicintayet /	brahma-lokam pareSAni nAda-upari vicintayet /
   ḍākinīsahito brahmā tathaiva nivaset sadā // ToT_8.13 //	xAkinI-sahitaH brahmA taTA-eva nivaset sadA // ToT_8.13 //
   lakāraṃ pārthivaṃ bījaṃ śaktirūpaṃ sureśvari /	lakAram pArTivam bIjam Sakti-rUpam sureSvari /
   pṛthvīcakrasya madhye tu svayambhūliṅgam adbhutam // ToT_8.14 //	pRTvI-cakrasya maDye tu svayamBU-liFgam adButam // ToT_8.14 //
   sārdhatrivalayākāra- kuṇḍalyā veṣṭitaṃ sadā /	sArDa-tri-valaya-AkAra kuNxalyA vezwitam sadA /
   liṅgacchidraṃ svavaktreṇa kuṇḍalyācchādya saṃsthitā // ToT_8.15 //	liFga=-Cidram sva-vaktreNa kuNxalI-AcCAdya saMsTitA // ToT_8.15 //
   tenaiva vartate vāyur iḍāpiṅgalayoḥ sadā /	tena-eva vartate vAyuH ixA-piFgalayoH sadA /
   sahasrāradarśanāya sadā jāgratsvarūpiṇī // ToT_8.16 //	sahasrAra-darSanAya sadA jAgrat-svarUpiNI // ToT_8.16 //
   yadaiva brahmamārgeṇa sahasrāre samutthitā /	yadA-eva brahmamArgeNa sahasrAre samutTitA /
   tadaiva parameśāni śvāsocchvāsavikāśanam // ToT_8.17 //	tadA-eva parameSAni SvAsa-ucCvAsa-vikASanam // ToT_8.17 //
   kesarasya tu madhye ca catuḥpattre sureśvari /	kesarasya tu maDye ca catur-pattre sureSvari /
   anantarūpiṇī durgā śambhuś cānantarūpadhṛk // ToT_8.18 //	ananta-rUpiNI durgA SamBuH ca-ananta-rUpa-DRk // ToT_8.18 //
   nānāsukhavilāsena sadā kāmena vartate /	nAnA-suKa-vilAsena sadA kAmena vartate /
   śrīdevī uvāca	SrI-devI uvAca
   liṅgacchidraṃ samākṛṣya saṃsthitā kuṇḍalī katham // ToT_8.19 //	liFga=-Cidram samAkRzya saMsTitA kuNxalI kaTam // ToT_8.19 //
   kathayasva sadānanda sarvajñastvaṃ sureśvara /	kaTayasva sadAnanda sarvajQaH-tvam sureSvara /
   śrīśiva uvāca	SrI-SivaH uvAca
   liṅgamadhye mahattejo vahnirūpaṃ ca sundari // ToT_8.20 //	liFga-maDye mahat-tejaH vahni-rUpam ca sundari // ToT_8.20 //
   yat kiṃcid vāyuyogena brahmāṇḍo dahyate yataḥ /	yat kiMcid vAyu-yogena brahmANxaH dahyate yatas /
   ataḥ sā kuṇḍalī devī mukhenācchādya saṃsthitā // ToT_8.21 //	atas sA kuNxalI devI muKena-AcCAdya saMsTitA // ToT_8.21 //
   tenaiva pārthive liṅge binduśaktiṃ niyojayet /	tena-eva pArTive liFge bindu-Saktim niyojayet /
   binduśaktiṃ samutthāpya liṅgapūjā prakīrtitā // ToT_8.22 //	bindu-Saktim samutTApya liFga-pUjA prakIrtitAH // ToT_8.22 //
   Toḍalatantra, Navamaḥ paṭalaḥ	Toxala-tantra, NavamaH pawalaH
   śrīdevī uvāca	SrI-devI uvAca
   tripurāyā mahāmantraṃ nityātantre śrutaṃ mayā /	tripurAyAH mahA-mantram nityAtantre Srutam mayA /
   idānīṃ śrotum icchāmi navārṇasya ca vāsanām // ToT_9.1 //	idAnIm Srotum icCAmi nava-arNasya ca vAsanAm // ToT_9.1 //
   śrīśiva uvāca	SrI-SivaH uvAca
   bhūmiś candraḥ śivo māyā śaktiḥ kṛśānusādanau /	BUmiH candraH SivaH mAyA SaktiH kRSa-anusAdanO /
   ardhacandraśca binduśca navārṇo merurucyate // ToT_9.2 //	arDacandraH-ca binduH-ca navArNaH meruH-ucyate // ToT_9.2 //
   bhūmibījajapādeva bhūpatir jāyate 'cirāt /	BUmi-bIja-japAt-eva BUpatiH jAyate acirAt /
   candrabījajapādeva mahāsaundaryamāpnuyāt // ToT_9.3 //	candra-bIja-japAt-eva mahA-sOndaryam-ApnuyAt // ToT_9.3 //
   śivabījajapād eva śivavadviharet kṣitau /	Siva-bIja-japAt eva Siva-vat-viharet kzitO /
   ekatroccāraṇāt satyaṃ caturvargaphalapradam // ToT_9.4 //	ekatra-uccAraNAt satyam caturvarga-Pala-pradam // ToT_9.4 //
   śrīdevī uvāca	SrI-devI uvAca
   yattvayā kathitaṃ nātha yogajñānādikaṃ layam /	yat-tvayA kaTitam nATa yoga-jQAna-Adikam layam /
   yāvat kāmādi saṃdīpyo bhāvayogo na labhyate // ToT_9.5 //	yAvat kAma-Adi saMdIpyaH BAva-yogaH na laByate // ToT_9.5 //
   ūrdhvaretā mahāyogī tadadhaḥ śaktiyogataḥ /	UrDvaretAH mahA-yogI tad-aDas Sakti-yogataH /
   brūhi me jagatāṃnātha kathaṃ dīrghāyuṣaṃ bhavet // ToT_9.6 //	brUhi me jagatAMnATa kaTam dIrGa-Ayuzam Bavet // ToT_9.6 //
   śrīśiva uvāca	SrI-SivaH uvAca
   śṛṇu devi pravakṣyāmi yena dīrghāyuṣaṃ bhavet /	SRNu devi pravakzyAmi yena dIrGa-Ayuzam Bavet /
   śrutvā gopaya yatnena na prakāśyaṃ kadācana // ToT_9.7 //	SrutvA gopaya yatnena na prakASyam kadAcana // ToT_9.7 //
   pūjayet kālikāṃ devīṃ tāriṇīṃ vātha sundarīm /	pUjayet kAlikAm devIm tAriNIm vA-aTa sundarIm /
   ṣoḍaśenopacāreṇa pañcatattvena pārvati // ToT_9.8 //	zoxaSena-upacAreNa paQcatattvena pArvati // ToT_9.8 //
   dinatrayaṃ pūjayitvā ṣaṭcakraṃ cintayedatha /	dina-trayam pUjayitvA zawcakram cintayet-aTa /
   tatastu parameśāni mālāmantraṃ samabhyaset // ToT_9.9 //	tatas-tu parameSAni mAlAmantram samaByaset // ToT_9.9 //
   ṣoḍaśī vā mahāpūrvā pattre cābhyāsamācaret /	zoxaSI vA mahA-pUrvA pattre ca-aByAsam-Acaret /
   catuṣpattre cāṣṭavāraṃ ṣaṭpattre dvādaśaṃ japet // ToT_9.10 //	catuzpattre ca-azwa-vAram zawpattre dvAdaSam japet // ToT_9.10 //
   daśapattre viṃśatiṃ ca dvādaśe vedanetrakam /	daSa-pattre viMSatim ca dvAdaSe veda-netrakam /
   ṣoḍaśe daśasaṃkhyaṃ tu caturvāraṃ śruvo'ṣṭakam // ToT_9.11 //	zoxaSe daSa-saMKyam tu catur-vAram SruvaH-azwakam // ToT_9.11 //
   kumbhakena japenmantraṃ mālāṣaṭke sureśvari /	kumBakena japet-mantram mAlA-zawke sureSvari /
   evaṃ krameṇa deveśi sthiramāyuryadā bhavet // ToT_9.12 //	evam krameNa deveSi sTiram-AyuH-yadA Bavet // ToT_9.12 //
   prajapedakṣamālāyāṃ yena mṛtyuṃjayo bhavet /	prajapet-akzamAlAyAm yena mRtyuMjayaH Bavet /
   śrīdevī uvāca	SrI-devI uvAca
   mūlacakrācchiro'ntā ca suṣumnā parikīrtitā /	mUla-cakrAt-SiraH-antA ca suzumnA parikIrtitA /
   tadgarbhasthā ca yā śaktiḥ sā devī kuṇḍarūpikā // ToT_9.13 //	tad-garBa-sTA ca yA SaktiH sA devI kuNxa-rUpikA // ToT_9.13 //
   sadā kuṇḍalinī devī pañcāśadvarṇabhūṣitā /	sadA kuNxalinI devI paQcASat-varNa-BUzitA /
   mālārūpā kathaṃ deva iti me saṃśayo hṛdi // ToT_9.14 //	mAlA-rUpA kaTam devaH iti me saMSayaH hRdi // ToT_9.14 //
   śrīśiva uvāca	SrI-SivaH uvAca
   sahasrāre mahāpadme bījakośe śivālaye /	sahasrAre mahApadme bIja-koSe Siva-Alaye /
   haṃsena vāyuyogena pūrakeṇa samānayet // ToT_9.15 //	haMsena vAyu-yogena pUrakeNa samAnayet // ToT_9.15 //
   sahasrāraṃ tu samprāpya śivaṃ dṛṣṭvā tu kāminī /	sahasrAram tu samprApya Sivam dRzwvA tu kAminI /
   mālākāreṇa talliṅgaṃ saṃveṣṭya kuṇḍalī sadā // ToT_9.16 //	mAlAkAreNa tat-liFgam saMvezwya kuNxalI sadA // ToT_9.16 //
   akārādilakārāntā kṣakāraṃ vaktrasaṃyutam /	akAra-Adi-lakAra-antA kzakAram vaktra-saMyutam /
   caramārṇaṃ sarandhraṃ ca nijapucchena kāminī // ToT_9.17 //	carama-arNam sa-ranDram ca nija-pucCena kAminI // ToT_9.17 //
   bhedayitvā svapucchena nāgapāśaṃ tadūrdhvake /	BedayitvA sva-pucCena nAgapASam tad-UrDvake /
   etatkāraṇaṃ saṃvyāpya saṃsthitā kuṇḍalī yadā // ToT_9.18 //	etat-kAraNam saMvyApya saMsTitA kuNxalI yadA // ToT_9.18 //
   tadaiva prajapenmantram amaratvaṃ sa vindati /	tadA-eva prajapet-mantram amara-tvam sa vindati /
   recanāt kāminī devī praviśantī svaketanam // ToT_9.19 //	recanAt kAminI devI praviSantI sva-ketanam // ToT_9.19 //
   na tatra prajapenmantraṃ japānmṛtyumavāpnuyāt /	na tatra prajapet-mantram japAn-mRtyum-avApnuyAt /
   recake chinnamālāyāṃ satyaṃ hi suravandite // ToT_9.20 //	recake Cinna-mAlAyAm satyam hi suravandite // ToT_9.20 //
   chinne sūtre bhavenmṛtyuḥ puraiva kathitaṃ mayā /	Cinne sUtre Bavet-mRtyuH purA-eva kaTitam mayA /
   iti te kathitaṃ kānte yato mṛtyuṃjayo bhavet // ToT_9.21 //	iti te kaTitam kAnte yatas mRtyuMjayaH Bavet // ToT_9.21 //
   athavā nijanāsāgre dṛṣṭimāropya yatnataḥ /	aTavA nija-nAsA-agre dRzwim-Aropya yatnatas /
   vāyuṃ saṃdhārya yatnena ekoccāreṇa coccaret // ToT_9.22 //	vAyum saMDArya yatnena eka-uccAreNa ca-uccaret // ToT_9.22 //
   mālāmantraṃ ṣoḍaśīṃ vā tathā cāṣṭādaśākṣarīm /	mAlAmantram zoxaSIm vA taTA ca-azwAdaSa-akzarIm /
   sahasraṃ prajapenmantraṃ pratyahaṃ yadi pārvati // ToT_9.23 //	sahasram prajapet-mantram pratyaham yadi pArvati // ToT_9.23 //
   jitvā mṛtyuṃ jarāṃ rogaṃ dīrghakālaṃ sa jīvati /	jitvA mRtyum jarAm rogam dIrGa-kAlam sa jIvati /
   etadanyaṃ mahāyogaṃ bhogārthī nahi labhyate // ToT_9.24 //	etat-anyam mahA-yogam Boga-arTI nahi laByate // ToT_9.24 //
   athavā parameśāni ḍāmaroktavidhānataḥ /	aTavA parameSAni xAmara-ukta-viDAnataH /
   yajet kātyāyanīṃ devīṃ bhūtapūrvāṃ prayatnataḥ // ToT_9.25 //	yajet kAtyAyanIm devIm BUta-pUrvAm prayatnataH // ToT_9.25 //
   tadā pañcasahasrābdaṃ niścitaṃ tu sa jīvati /	tadA paQca-sahasra-abdam niScitam tu sa jIvati /
