   viṣayādhyāyaḥ	vizaya-aDyAyaH
   itaralābhe 'pyāvṛttiḥ pañcāgniyogato janmaśruteḥ | KapSs_4.22 |	itara-lABe api-AvRttiH paQca-agni-yogataH janma-SruteH | KapSs_4.22 |
   (punarāvṛttihetubhūtānyupāsanāni)	(punarAvRtti-hetu-BUtAni-upAsanAni)
   viraktasya heyahānamupādeyopādānaṃ haṃsakṣīravat | KapSs_4.23 |	viraktasya heya-hAnam-upAdeya-upAdAnam haMsa-kzIra-vat | KapSs_4.23 |
   (jñānaniṣpattyadhikāraḥ)	(jQAna-nizpatti-aDikAraH)
   labdhātiśayayogādvā tadvat | KapSs_4.24 |	labDa-atiSaya-yogAt-vA tadvat | KapSs_4.24 |
   (jñānaniṣpattyadhikāraḥ)	(jQAna-nizpatti-aDikAraH)
   na kāmacāritvaṃ rāgopahate śukavat | KapSs_4.25 |	na kAma-cAri-tvam rAga-upahate Suka-vat | KapSs_4.25 |
   (rāgadoṣāḥ tacchamanopāyāśca)	(rAga-dozAH tad-Samana-upAyAH-ca)
   guṇayogāt baddhaḥ śukavat | KapSs_4.26 |	guNa-yogAt badDaH Suka-vat | KapSs_4.26 |
   (rāgadoṣāḥ tacchamanopāyāśca)	(rAga-dozAH tad-Samana-upAyAH-ca)
   na bhogādrāgaśāntiḥ munivat | KapSs_4.27 |	na BogAt-rAga-SAntiH muni-vat | KapSs_4.27 |
   (rāgadoṣāḥ tacchamanopāyāśca)	(rAga-dozAH tad-Samana-upAyAH-ca)
   doṣadarśanādubhayoḥ | KapSs_4.28 |	doza-darSanAt-uBayoH | KapSs_4.28 |
   (rāgadoṣāḥ tacchamanopāyāśca)	(rAga-dozAH tad-Samana-upAyAH-ca)
   na malinacetasyupadeśa bījapraroho 'javat | KapSs_4.29 |	na malina-cetasi-upadeSa bIja-prarohaH aja-vat | KapSs_4.29 |
   (rāgadoṣāḥ tacchamanopāyāśca)	(rAga-dozAH tad-Samana-upAyAH-ca)
   nābhāsamātramapi malinadarpaṇavat | KapSs_4.30 |	nABAsa-mAtram-api malina-darpaNa-vat | KapSs_4.30 |
   (rāgadoṣāḥ tacchamanopāyāśca)	(rAga-dozAH tad-Samana-upAyAH-ca)
   na tajjasyāpi tadrapatā paṅkajavat | KapSs_4.31 |	na tad-jasyA-api tad-rapatA paFkaja-vat | KapSs_4.31 |
   (rāgadoṣāḥ tacchamanopāyāśca)	(rAga-dozAH tad-Samana-upAyAH-ca)
   na bhūtiyoge 'pi kṛtakṛtyatā upāsyasiddhivat upāsyasiddhivat | KapSs_4.32	na BUti-yoge api kRtakRtya-tA upAsyasidDi-vat upAsya-sidDi-vat | KapSH-_4.32
   (aṣṭaiśvaryāṇāmapi muktisāmyābhāvaḥ)	(azwa-ESvaryANAm-api mukti-sAmya-aBAvaH)
   paramatanirjayaḥ	para-mata-nirjayaH
   maṅgalācaraṇaṃ śiṣṭācārāt phaladarśanāt śrutitaśceti | KapSs_5.1 |	maFgala-AcaraNam Sizwa-AcArAt Pala-darSanAt SrutitaH-ca-iti | KapSs_5.1 |
   (maṅgalācaraṇaprayojanaṃ)	(maFgala-AcaraNa-prayojanaM)
   neśvarādhiṣṭhite phalaniṣpattiḥ karmaṇā tatsiddheḥ | KapSs_5.2 |	na-ISvara-aDizWite Pala-nizpattiH karmaNA tad-sidDeH | KapSs_5.2 |
   (īśvarasya phaladātṛtvābhavaḥ)	(ISvarasya Pala-dAtR-tva-aBavaH)
   svopakārādadhiṣṭhānaṃ lokavat | KapSs_5.3 |	sva-upakArAt-aDizWAnam loka-vat | KapSs_5.3 |
   (īśvarasya phaladātṛtvābhavaḥ)	(ISvarasya Pala-dAtR-tva-aBavaH)
   laukikeśvaravaditarathā | KapSs_5.4 |	lOkikeSvara-vat-ita-raTAH | KapSs_5.4 |
   (īśvarasya phaladātṛtvābhavaḥ)	(ISvarasya Pala-dAtR-tva-aBavaH)
   pāribhāṣiko vā | KapSs_5.5 |	pAriBAzikaH vA | KapSs_5.5 |
   (īśvarasya phaladātṛtvābhavaḥ)	(ISvarasya Pala-dAtR-tva-aBavaH)
   na rāgādṛte tatsiddhiḥ pratiniyatakāraṇatvāt | KapSs_5.6 |	na rAgAt-Rte tad-sidDiH pratiniyata-kAraNa-tvAt | KapSs_5.6 |
   (īśvarasya phaladātṛtvābhavaḥ)	(ISvarasya Pala-dAtR-tva-aBavaH)
   tadyoge 'pi na nityamuktaḥ | KapSs_5.7 |	tad-yoge api na nitya-muktaH | KapSs_5.7 |
   (īśvarasya phaladātṛtvābhavaḥ)	(ISvarasya Pala-dAtR-tva-aBavaH)
   pradhānaśaktiyogāccet saṅgāpattiḥ | KapSs_5.8 |	praDAna-Sakti-yogAt-ced saFga-ApattiH | KapSs_5.8 |
   (īśvarasya phaladātṛvābhavaḥ)	(ISvarasya Pala-dAtR-vABavaH)
   sattāmātrāccetsarvaiśvaryaṃ | KapSs_5.9 |	sattA-mAtrAt-ced-sarva-ESvaryam | KapSs_5.9 |
   (īśvarasya phaladātṛtvābhavaḥ)	(ISvarasya Pala-dAtR-tva-aBavaH)
   pramāṇābhāvānna tatsiddhiḥ | KapSs_5.10 |	pramANa-aBAvAt-na tad-sidDiH | KapSs_5.10 |
   (īśvare pramāṇābhāvaḥ)	(ISvare pramANa-aBAvaH)
   sambandhābhāvānnānumānaṃ | KapSs_5.11 |	sambanDa-aBAvAt-na-anumAnam | KapSs_5.11 |
   (īśvare pramāṇābhāvaḥ)	(ISvare pramANa-aBAvaH)
   śrutirapi pradhānakāryatvasya | KapSs_5.12 |	SrutiH-api praDAna-kArya-tvasya | KapSH-_5.12 |
   (īśvare pramāṇābhāvaḥ)	(ISvare pramANa-aBAvaH)
   nāvidyāśaktiyogo nissaṅgasya | KapSs_5.13 |	na-avidyA-Sakti-yogaH nissaFgasya | KapSH-_5.13 |
   (bandhasya avidyānimittakatvavādanirāsaḥ)	(banDasya avidyA-nimittaka-tva-vAda-nirAsaH)
   tadyoge tatsiddhāvanyonyāśrayatvaṃ | KapSs_5.14 |	tad-yoge tad-sidDO=-anyonya-ASraya-tvam | KapSs_5.14 |
   (bandhasya avidyānimittakatvavādanirāsaḥ)	(banDasya avidyA-nimittaka-tva-vAda-nirAsaH)
   na bījāṅkuravat sādisaṃsāraśruteḥ | KapSs_5.15 |	na bIja-aFkura-vat sAdi-saMsAra-SruteH | KapSs_5.15 |
   (bandhasya avidyānimittakatvavādanirāsaḥ)	(banDasya avidyA-nimittaka-tva-vAda-nirAsaH)
   vidyāto 'nyatve brahmabādhaprasaṅgaḥ | KapSs_5.16 |	vidyAtaH anya-tve brahma-bADa-prasaFgaH | KapSs_5.16 |
   (bandhasya avidyānimittakatvavādanirāsaḥ)	(banDasya avidyA-nimittaka-tva-vAda-nirAsaH)
   abādhe naiṣphalyaṃ | KapSs_5.17 |	abADe nEzPalyam | KapSs_5.17 |
   (bandhasya avidyānimittakatvavādanirāsaḥ)	(banDasya avidyA-nimittaka-tva-vAda-nirAsaH)
   vidyābādhyatve jagato 'pyevaṃ | KapSs_5.18 |	vidyA-bADya-tve jagataH api-evam | KapSs_5.18 |
   (bandhasya avidyānimittakatvavādanirāsaḥ)	(banDasya avidyA-nimittaka-tva-vAda-nirAsaH)
   tadrūpatve sāditvaṃ | KapSs_5.19 |	tad-rUpa-tve sAdi-tvam | KapSs_5.19 |
   (bandhasya avidyānimittakatvavādanirāsaḥ)	(banDasya avidyA-nimittaka-tva-vAda-nirAsaH)
   na dharmāpalāpaḥ prakṛtikāryavaicitryāt | KapSs_5.20 |	na Darma-apalApaH prakRti-kArya-vEcitryAt | KapSs_5.20 |
   (pradhānapravṛtteḥ karmanimittakatvanirāsaḥ)	(praDAna-pravRtteH karma-nimittaka-tva-nirAsaH)
   śrutiliṅgādibhiḥ tatsiddhiḥ | KapSs_5.21 |	Sruti-liFga-AdiBiH tad-sidDiH | KapSs_5.21 |
   (pradhānapravṛtteḥ karmanimittakatvanirāsaḥ)	(praDAna-pravRtteH karma-nimittaka-tva-nirAsaH)
   na niyamaḥ pramāṇāntarāvakāśāt | KapSs_5.22 |	na niyamaH pramANa-antara-avakASAt | KapSH-_5.22 |
   (pradhānapravṛtteḥ karmanimittakatvanirāsaḥ)	(praDAna-pravRtteH karma-nimittaka-tva-nirAsaH)
   ubhayatrāpyevaṃ | KapSs_5.23 |	uBayatra-api-evam | KapSs_5.23 |
   (pradhānapravṛtteḥ karmanimittakatvanirāsaḥ)	(praDAna-pravRtteH karma-nimittaka-tva-nirAsaH)
   arthāt siddhiścetsamānamubhayoḥ | KapSs_5.24 |	arTAt sidDiH-ced-samAnam-uBayoH | KapSs_5.24 |
   (pradhānapravṛtteḥ karmanimittakatvanirāsaḥ)	(praDAna-pravRtteH karma-nimittaka-tva-nirAsaH)
   antaḥ karaṇadharmatvaṃ dharmādīnāṃ | KapSs_5.25 |	antar karaNa-Darma-tvam Darma-AdInAm | KapSs_5.25 |
   (dharmādharmayoḥ antaḥ karaṇadharmatvaṃ)	(Darma-aDarmayoH antar karaNa-Darma-tvaM)
   guṇādīnāṃ ca nātyantabādhaḥ | KapSs_5.26 |	guNa-AdInAm ca na-atyanta-bADaH | KapSs_5.26 |
   (satvādiguṇataddharmāṇāṃ atyanta niṣedhasyāyuktatā)	(satva-Adi-guNa-tad-DarmANAm atyanta nizeDasya-ayukta-tA)
   pañcāvayavayogāt sukhasaṃvittiḥ | KapSs_5.27 |	paQca-avayava-yogAt suKa-saMvittiH | KapSs_5.27 |
   (satvādiguṇataddharmāṇāṃ atyanta niṣedhasyāyuktatā)	(satva-Adi-guNa-tad-DarmANAm atyanta nizeDasya-ayukta-tA)
   na sakṛdgrahaṇātsambandha siddhiḥ | KapSs_5.28 |	na sakRt-grahaNAt-sambanDa sidDiH | KapSs_5.28 |
   (vyāptisvarūpaṃ tatsādhanaṃ ca), pū	(vyApti-svarUpam tad-sADanam ca), pU
   niyatadharmasāhityamubhayorekatarasya vā vyāptiḥ | KapSs_5.29 |	niyata-Darma-sAhityam-uBayoH-ekatarasya vA vyAptiH | KapSs_5.29 |
   (vyāptisvarūpaṃ tatsādhanaṃ ca), si	(vyApti-svarUpam tad-sADanam ca), si
   na tatvāntaraṃ vastukalpanāprasakteḥ | KapSs_5.30 |	na tatva-antaram vastu-kalpanA-prasakteH | KapSs_5.30 |
   (paroktavyāptisvarūpādikhaṇḍanaṃ)	(para-ukta-vyApti-svarUpa-Adi-KaNxa-naM)
   nijaśaktyudbhavamityācāryāḥ | KapSs_5.31 |	nija-Sakti-udBavam-iti-AcAryAH | KapSs_5.31 |
   (paroktavyāptisvarūpādikhaṇḍanaṃ)	(para-ukta-vyApti-svarUpa-Adi-KaNxa-naM)
   ādheyaśaktiyoga iti pañcaśikhaḥ | KapSs_5.32 |	ADeya-Sakti-yogaH iti paQcaSiKaH | KapSs_5.32 |
   (paroktavyāptisvarūpādikhaṇḍanaṃ)	(para-ukta-vyApti-svarUpa-Adi-KaNxa-naM)
   na svarūpaśaktirniyamaḥ punarvādaprasakteḥ | KapSs_5.33 |	na svarUpa-SaktiH-niyamaH punar-vAda-prasakteH | KapSs_5.33 |
   (paroktavyāptisvarūpādikhaṇḍanaṃ)	(para-ukta-vyApti-svarUpa-Adi-KaNxa-naM)
   viśeṣeṇānarthakya prasakteḥ | KapSs_5.34 |	viSezeNa-AnarTakya prasakteH | KapSs_5.34 |
   (paroktavyāptisvarūpādikhaṇḍanaṃ)	(para-ukta-vyApti-svarUpa-Adi-KaNxa-naM)
   pallavādiṣvanupapatteśca | KapSs_5.35 |	pallava-Adizu-anupapatteH-ca | KapSH-_5.35 |
   (paroktavyāptisvarūpādikhaṇḍanaṃ)	(para-ukta-vyApti-svarUpa-Adi-KaNxa-naM)
   ādheyaśaktisiddhau nijaśaktiyogaḥ samānanyāyāt | KapSs_5.36 |	ADeya-Sakti-sidDO nija-Sakti-yogaH samAna-nyAyAt | KapSs_5.36 |
   (paroktavyāptisvarūpādikhaṇḍanaṃ)	(para-ukta-vyApti-svarUpa-Adi-KaNxa-naM)
   vācyavācaka bhāvaḥ sambandhaḥ śabdārthayoḥ | KapSs_5.37 |	vAcya-vAcaka BAvaH sambanDaH Sabda-arTayoH | KapSs_5.37 |
   (śabdaprāmāṇyasādhanaṃ)	(Sabda-prAmANya-sADanaM)
   tribhissāmbandhasiddhiḥ | KapSs_5.38 |	triBiH-sAmbanDa-sidDiH | KapSs_5.38 |
   (lokavedayoḥ śaktigrahaṇopāyāḥ)	(loka-vedayoH Sakti-grahaNa-upAyAH)
   na kārye niyamaḥ ubhayathā darśanāt | KapSs_5.39 |	na kArye niyamaH uBayaTA darSanAt | KapSs_5.39 |
   (lokavedayoḥ śaktigrahaṇopāyāḥ)	(loka-vedayoH Sakti-grahaNa-upAyAH)
   loke vyutpannasya vedārthapratītiḥ | KapSs_5.40 |	loke vyutpannasya veda-arTa-pratItiH | KapSs_5.40 |
   (lokavedayoḥ śaktigrahaṇopāyāḥ)	(loka-vedayoH Sakti-grahaNa-upAyAH)
   na tribhirapauruṣeyatvādvedasya tadarthasyāpyatīndriyatvāt | KapSs_5.41 |	na triBiH-apOruzeya-tvAt-vedasya tad-arTasya-api-atIndriya-tvAt | KapSH-_5.41 |
   (vedasya atīndriyārthatvanirākaraṇaṃ), pū	(vedasya atIndriya-arTa-tva-nirAkaraNaM), pU
   na yajñādeḥ svarūpato dharmatvaṃ vaiśiṣṭyāt | KapSs_5.42 |	na yajQa-AdeH svarUpataH Darma-tvam vESizwyAt | KapSs_5.42 |
   (vedasya atīndriyārthatvanirākaraṇaṃ), si	(vedasya atIndriya-arTa-tva-nirAkaraNaM), si
   nijaśaktiḥ vyutpattyā vyavacchidyate | KapSs_5.43 |	nija-SaktiH vyutpattyA vyavacCidyate | KapSs_5.43 |
   (vaidikaśabdaśaktigrahavyavasthā)	(vEdika-Sabda-Sakti-graha-vyavasTA)
   yogyāyogyeṣu pratītijanakatvāttatsiddhiḥ | KapSs_5.44 |	yogya-ayogyezu pratIti-janaka-tvAt-tad-sidDiH | KapSs_5.44 |
   (vaidikaśabdaśaktigrahavyavasthā)	(vEdika-Sabda-Sakti-graha-vyavasTA)
   na nityatvaṃ vedānāṃ kāryatvaśruteḥ | KapSs_5.45 |	na nitya-tvam vedAnAm kAryatva-SruteH | KapSs_5.45 |
   (vedasya nityatvāpaurūṣeyatvayornirāsaḥ)	(vedasya nitya-tva-apOrUzeya-tvayoH-nirAsaH)
   na pauruṣeyatvaṃ tatkartuḥ puruṣasyābhāvāt | KapSs_5.46 |	na pOruzeya-tvam tat-kartuH puruzasya-aBAvAt | KapSH-_5.46 |
   (vedasya nityatvāpaurūṣeyatvayornirāsaḥ)	(vedasya nitya-tva-apOrUzeya-tvayoH-nirAsaH)
   muktāmuktayorayogyatvāt | KapSs_5.47 |	muktA-muktayoH-ayogya-tvAt | KapSs_5.47 |
   (vedasya nityatvāpaurūṣeyatvayornirāsaḥ)	(vedasya nitya-tva-apOrUzeya-tvayoH-nirAsaH)
   nāpauruṣeyatvānnityatvamaṅkurādivat | KapSs_5.48 |	na-apOruzeya-tvAt-nitya-tvam-aFkura-Adi-vat | KapSs_5.48 |
   (vedasya nityatvāpaurūṣeyatvayornirāsaḥ)	(vedasya nitya-tva-apOrUzeya-tvayoH-nirAsaH)
   teṣāmapi tadyoge dṛṣṭabādhādiprasaktiḥ | KapSs_5.49 |	tezAm-api tad-yoge dRzwa-bADa-Adi-prasaktiH | KapSs_5.49 |
   (vedasya nityatvāpaurūṣeyatvayornirāsaḥ)	(vedasya nitya-tva-apOrUzeya-tvayoH-nirAsaH)
   yasmin adṛṣṭe 'pi kṛtabuddhirupajāyate tatpauruṣeyaṃ | KapSs_5.50 |	yasmin adRzwe api kRtabudDiH-upajAyate tad-pOruzeyam | KapSs_5.50 |
   (vedasya nityatvāpaurūṣeyatvayornirāsaḥ)	(vedasya nitya-tva-apOrUzeya-tvayoH-nirAsaH)
   nijaśaktyabhivyakteḥ svataḥ prāmāṇyaṃ | KapSs_5.51 |	nija-Sakti-aBivyakteH svatas prAmANyam | KapSs_5.51 |
   (vedānāṃ svataḥ prāmāṇyaṃ)	(vedAnAm svatas prAmANyaM)
   nāsataḥ khyānaṃ nṛśṛṅgavat | KapSs_5.52 |	na-asataH KyAnam nRSRFga-vat | KapSs_5.52 |
   (guṇānāṃ nātyantāsattvaṃ anirvacanīyatvaṃ vā)	(guNAnAm na-atyanta-asattvam anirvacanIya-tvam vA)
   na sato bādhadarnāt | KapSs_5.53 |	na sataH bADa-darnAt | KapSs_5.53 |
   (guṇānāṃ nātyantāsattvaṃ anirvacanīyatvaṃ vā)	(guNAnAm na-atyanta-asattvam anirvacanIya-tvam vA)
   nānirvacanīyasya tadabhāvāt | KapSs_5.54 |	na-anirvacanIyasya tad-aBAvAt | KapSH-_5.54 |
   (guṇānāṃ nātyantāsattvaṃ anirvacanīyatvaṃ vā)	(guNAnAm na-atyanta-asattvam anirvacanIya-tvam vA)
   nānyathākhyātiḥ svavacovyāghātāt | KapSs_5.55 |	na-anyaTA-KyAtiH sva-vacaH-vyAGAtAt | KapSs_5.55 |
   (anyathākhyātinirāsaḥ)	(anyaTA-KyAti-nirAsaH)
   sadasatkhyātiḥ bādhābādhāt | KapSs_5.56 |	sat-asat-KyAtiH bADa-AbADAt | KapSs_5.56 |
   (sadasatkhyāti nirāsaḥ)	(sat-asat-KyAti nirAsaH)
   pratītyapratītibhyāṃ na sphoṭātmakaḥ śabdaḥ | KapSs_5.57 |	pratItya-pratItiByAm na sPowa-AtmakaH SabdaH | KapSs_5.57 |
   (sphoṭanirāsaḥ)	(sPowa-nirAsaH)
   na śabdanityatvaṃ kāryatāpratīteḥ | KapSs_5.58 |	na Sabda-nitya-tvam kArya-tA-pratIteH | KapSs_5.58 |
   (varṇanityatvanirāsaḥ)	(varNa-nitya-tva-nirAsaH)
   pūrvasiddha sattvasyābhivyaktiḥ dīpeneva ghaṭasya | KapSs_5.59 |	pUrva-sidDa sattvasya-aBivyaktiH dIpena-iva Gawasya | KapSH-_5.59 |
   (varṇanityatvanirāsaḥ), pū	(varNa-nitya-tva-nirAsaH), pU
   satkāryasiddhāntaścet siddhasādhanaṃ | KapSs_5.60 |	satkArya-sidDAntaH-ced sidDa-sADanam | KapSs_5.60 |
   (varṇanityatvanirāsaḥ), si	(varNa-nitya-tva-nirAsaH), si
   nādvaitamātmano liṅgāt tadbhedapratīteḥ | KapSs_5.61 |	na-advEtam-AtmanaH liFgAt tad-Beda-pratIteH | KapSs_5.61 |
   (ātmādvaita nirāsaḥ)	(a-AtmA-dvEta nirAsaH)
   nānātmāpi pratyakṣabādhāt | KapSs_5.62 |	nAnA-AtmA-api pratyakza-bADAt | KapSs_5.62 |
   (ātmādvaita nirāsaḥ)	(a-AtmA-dvEta nirAsaH)
   nobhābhyāṃ tenaiva | KapSs_5.63 |	na-uBAByAm tena-eva | KapSs_5.63 |
   (ātmādvaita nirāsaḥ)	(a-AtmA-dvEta nirAsaH)
   anyaparatvamavivekānāṃ tatra | KapSs_5.64 |	anya-para-tvam-avivekAnAm tatra | KapSH-_5.64 |
   (ātmādvaitanirāsaḥ)	(a-AtmA-dvEta-nirAsaH)
   nātmāvidyā nobhayaṃ jagadupādānakāraṇaṃ nissaṅgatvāt | KapSs_5.65 |	na-Atma-avidyA na-uBayam jagat-upAdAna-kAraNam nissaFga-tvAt | KapSs_5.65 |
   (ātmādvaitanirāsaḥ)	(a-AtmA-dvEta-nirAsaH)
   naikasyānandacidrūpatve dvayorbhedāt | KapSs_5.66 |	na-ekasya-Ananda-cit-rUpa-tve dvayoH-BedAt | KapSs_5.66 |
   (ātmādvaitanirāsaḥ)	(a-AtmA-dvEta-nirAsaH)
   duḥkhanivṛttergauṇaḥ | KapSs_5.67 |	duHKa-nivRtteH-gONaH | KapSs_5.67 |
   (ātmādvaitanirāsaḥ)	(a-AtmA-dvEta-nirAsaH)
   vimuktipraśaṃsā mandānāṃ | KapSs_5.68 |	vimukti-praSaMsA mandAnAm | KapSs_5.68 |
   (ātmādvaitanirāsaḥ)	(a-AtmA-dvEta-nirAsaH)
   na vyāpakatvaṃ manasaḥ karaṇatvādindriyatvādvā vāsyādivaccakṣurādivacca |	na vyApaka-tvam manasaH karaNa-tvAt-indriya-tvAt-vA vA-asya-Adi-vat-cakzuH-Adi-vat-ca |
   KapSs_5.69 |	KapSs_5.69 |
   (manasoniravayavatva vibhutvanityanāṃ nirāsaḥ)	(manasaH-niH-avayava-tva viBu-tva-niti-anAm nirAsaH)
   sakriyatvāt gatiśruteḥ | KapSs_5.70 |	sa-kriya-tvAt gati-SruteH | KapSs_5.70 |
   (manasoniravayavatva vibhutvanityanāṃ nirāsaḥ)	(manasaH-niH-avayava-tva viBu-tva-niti-anAm nirAsaH)
   na nirbhāgatvaṃ tadyogāt ghaṭavat | KapSs_5.71 |	na nirBAga-tvam tad-yogAt Gawa-vat | KapSs_5.71 |
   (manasoniravayavatva vibhutvanityanāṃ nirāsaḥ)	(manasaH-niH-avayava-tva viBu-tva-niti-anAm nirAsaH)
   prakṛtipuruṣayoranyatsarvamanityaṃ | KapSs_5.72 |	prakRti-puruzayoH-anyat-sarvam-anityam | KapSs_5.72 |
   (prakṛtipuruṣātiriktasya sarvasyānityatvaṃ)	(prakRti-puruza-atiriktasya sarvasya-anitya-tvaM)
   na bhāgalābho bhāgino nirbhāgatvaśruteḥ | KapSs_5.73 |	na BAga-lABaH BAginaH nirBAga-tva-SruteH | KapSs_5.73 |
   (prakṛtipuruṣātiriktasya sarvasyānityatvaṃ)	(prakRti-puruza-atiriktasya sarvasya-anitya-tvaM)
   nānandābhivyaktirmuktiḥ nirdharmatvāt | KapSs_5.74 |	na-Ananda-aBivyaktiH-muktiH nirDarma-tvAt | KapSH-_5.74 |
   (mukteḥ ānandābhivyaktirūpatvābhāvaḥ)	(mukteH Ananda-aBivyakti-rUpa-tva-aBAvaH)
   na viśeṣaguṇocchittistadvat | KapSs_5.75 |	na viSeza-guNa-ucCittiH-tadvat | KapSs_5.75 |
   (mukteḥ viśeṣaguṇocchedasvarūpatvābhāvaḥ)	(mukteH viSeza-guNa-ucCeda-svarUpa-tva-aBAvaH)
   na viśeṣagatiḥ niṣkriyasya | KapSs_5.76 |	na viSeza-gatiH nizkriyasya | KapSs_5.76 |
   (mukteḥ lokāntaragatirūpatvābhāvaḥ)	(mukteH loka-antara-gati-rUpa-tva-aBAvaH)
   nākāroparāgocchittiḥ kṣaṇikatvādidoṣāt | KapSs_5.77 |	na-AkAra-uparAga-ucCittiH kzaNika-tva-Adi-dozAt | KapSs_5.77 |
   (mukteḥ uparāganāśa, sarvocchittirūpatvābhāvaḥ)	(mukteH uparAga-nASa, sarva-ucCitti-rUpa-tva-aBAvaH)
   na sarvocchittirapuruṣārthatvādideṣāt | KapSs_5.78 |	na sarva-ucCittiH-apuruza-arTa-tva-Adi-dezAt | KapSs_5.78 |
   (mukteḥ śūnyādirūpatvānupapattiḥ)	(mukteH SUnya-Adi-rUpa-tva-anupapattiH)
   evaṃ śūnyamapi | KapSs_5.79 |	evam SUnyam-api | KapSH-_5.79 |
   (mukteḥ śūnyādirūpatvānupapattiḥ)	(mukteH SUnya-Adi-rUpa-tva-anupapattiH)
   saṃyogāśca vibhāgāntā iti na deśādilābho 'pi | KapSs_5.80 |	saMyogAH-ca viBAga-antAH iti na deSa-Adi-lABaH api | KapSH-_5.80 |
   (mukteḥ svāmyaviśeṣādirūpatvābhāvaḥ)	(mukteH svAmya-viSeza-Adi-rUpa-tva-aBAvaH)
   na bhāgiyogo bhāgasya | KapSs_5.81 |	na BAgi-yogaH BAgasya | KapSH-_5.81 |
   (mukteḥ layarūpatvābhāvaḥ)	(mukteH laya-rUpa-tva-aBAvaH)
   nāṇimādiyogo 'pyavaśyaṃbhāvitvāt taducchitteritarayogavat | KapSs_5.82 |	na-aNima-Adi-yogaH api-avaSyaMBAvi-tvAt tad-ucCitteH-itara-yoga-vat | KapSs_5.82 |
   (mukteḥ aiśvarya padavīviśeṣādirūpatvābhāvaḥ)	(mukteH ESvarya padavI-viSeza-Adi-rUpa-tva-aBAvaH)
   nendrādipadayogo 'pi tadvat | KapSs_5.83 |	na-indra-Adi-pada-yogaH api tadvat | KapSs_5.83 |
   (mukteḥ aiśevarya padavīviśeṣādirūpatvābhāvaḥ)	(mukteH ESevarya padavI-viSeza-Adi-rUpa-tva-aBAvaH)
   na bhūtaprakṛtikatvamindriyāṇāmāhaṅkārikatvaśruteḥ | KapSs_5.84 |	na BUta-prakRtika-tvam-indriyANAm-AhaFkArika-tva-SruteH | KapSs_5.84 |
   (indriyāṇāṃ bhūtaprakṛtikatvanirāsaḥ)	(indriyANAm BUta-prakRtikatva-nirAsaH)
   na ṣaṭ padārthaniyamastadbodhānmuktiḥ | KapSs_5.85 |	na zaw padArTa-niyamaH-tad-boDAt-muktiH | KapSs_5.85 |
   (parokta padārthasaṃkhyāniyamasya, taddhodhasya muktihetutāyāśca nirāsaḥ)	(parokta padArTa-saMKyA-niyamasya, tad-hoDasya mukti-hetutAyAH-ca nirAsaH)
   ṣoḍaśādiṣvapyevaṃ | KapSs_5.86 |	zoxaSa-Adizu-api-evam | KapSs_5.86 |
   (parokta padārthasaṃkhyāniyamasya, taddhodhasya muktihetutāyāśca nirāsaḥ)	(parokta padArTa-saMKyA-niyamasya, tad-hoDasya mukti-hetutAyAH-ca nirAsaH)
   nāṇunityatā tatkāryatvaśruteḥ | KapSs_5.87 |	na-aNu-nityatA tad-kArya-tva-SruteH | KapSs_5.87 |
   (aṇūnāṃ nityatvanirāsaḥ)	(aNUnAm nitya-tva-nirAsaH)
   na nirbhāgatvaṃ kāryatvāt | KapSs_5.88 |	na nirBAga-tvam kAryatvAt | KapSH-_5.88 |
   (aṇūnāṃ nityatvanirāsaḥ)	(aNUnAm nitya-tva-nirAsaH)
   na rūpanibandhanāt pratyakṣaniyamaḥ | KapSs_5.89 |	na rUpa-nibanDanAt pratyakza-niyamaH | KapSs_5.89 |
   (parimāṇasvarūpādi nirṇayaḥ)	(parimANa-svarUpa-Adi nirNayaH)
   na parimāṇacāturvidhyaṃ dvābhyāṃ tadyogāt | KapSs_5.90 |	na parimANa-cAtuH-viDyam dvAByAm tad-yogAt | KapSH-_5.90 |
   (sāmānyasādhanaṃ, tatsvarūpaṃ ca)	(sAmAnya-sADanaM, tad-svarUpam ca)
   anityatve 'pi sthiratāyogāt pratyabhijñānaṃ sāmānyasya | KapSs_5.91 |	anitya-tve api sTira-tA-yogAt pratyaBijQAnam sAmAnyasya | KapSH-_5.91 |
   (sāmānyasādhanaṃ, tatsvarūpaṃ ca)	(sAmAnya-sADanaM, tad-svarUpam ca)
   na tadapalāpastasmāt | KapSs_5.92 |	na tad-apalApaH-tasmAt | KapSs_5.92 |
   (sāmānyasādhanaṃ, tatsvarūpaṃ ca)	(sAmAnya-sADanaM, tad-svarUpam ca)
   nānyanivṛttirūpatvaṃ bhāvapratīteḥ | KapSs_5.93 |	na-anya-nivRtti-rUpa-tvam BAva-pratIteH | KapSs_5.93 |
   (sāhaśyasya tattvāntaratā nirākaraṇaṃ)	(sAhaSyasya tattva-antara-tA nirAkaraNaM)
   na tattvāntaraṃ sādṛśya pratyakṣopalabdheḥ | KapSs_5.94 |	na tattva-antaram sAdRSya pratyakza-upalabDeH | KapSs_5.94 |
   (sādṛśyasya tattvāntaratā nirākaraṇaṃ)	(sAdRSyasya tattva-antara-tA nirAkaraNaM)
   nijaśaktyabhivyaktirvā vaiśiṣṭyāttadupalabdheḥ | KapSs_5.95 |	nija-Sakti-aBivyaktiH-vA vESizwyAt-tad-upalabDeH | KapSs_5.95 |
