   LiP, 1, 1	Li P, 1, 1
   toṣayettaṃ prayatnena bhāvaśuddhisamanvitaḥ /	tozayet tam prayatnena BAva SudDi samanvitaH /
   vācā ca manasā caiva kāyena draviṇena ca // LiP_1,85.87 //	vAcA ca manasA ca eva kAyena draviNena ca // LiS _1,85.87 //
   ācāryaṃ pūjayecchiṣyaḥ sarvadātiprayatnataḥ /	AcAryam pUjayet SizyaH sarvadA ati prayatnataH /
   hastyaśvaratharatnāni kṣetrāṇi ca gṛhāṇi ca // LiP_1,85.88 //	hasti aSva raTa ratnAni kzetrANi ca gRhANi ca // LiS _1,85.88 //
   bhūṣaṇāni ca vāsāṃsi dhānyāni vividhāni ca /	BUzaNAni ca vAsAMsi DAnyAni viviDAni ca /
   etāni gurave dadyād bhaktyā ca vibhave sati // LiP_1,85.89 //	etAni gurave dadyAt BaktyA ca viBave sati // LiS _1,85.89 //
   vittaśāṭhyaṃ na kurvīta yadīcchetsiddhimātmanaḥ /	vitta SAWyam na kurvIta yadi icCet sidDim AtmanaH /
   paścānnivedayeddevi ātmānaṃ saparicchadam // LiP_1,85.90 //	paScAt nivedayet devi AtmAnam sa paricCadam // LiS _1,85.90 //
   evaṃ sampūjya vidhivad yathāśakti tvavañcayan /	evam sampUjya viDivat yaTASakti tu avaQcayan /
   ādadīta gurormantraṃ jñānaṃ caiva krameṇa tu // LiP_1,85.91 //	AdadIta guroH mantram jQAnam ca eva krameNa tu // LiS _1,85.91 //
   evaṃ tuṣṭo guruḥ śiṣyaṃ pūjitaṃ vatsaroṣitam /	evam tuzwaH guruH Sizyam pUjitam vatsara uzitam /
   śuśrūṣum anahaṅkāram upavāsakṛśaṃ śucim // LiP_1,85.92 //	SuSrUzum anahaFkAram upavAsa kRSam Sucim // LiS _1,85.92 //
   snāpayitvā tu śiṣyāya brāhmaṇānapi pūjya ca /	snApayitvA tu SizyAya brAhmaNAn api pUjya ca /
   samudratīre nadyāṃ ca goṣṭhe devālaye 'pi vā // LiP_1,85.93 //	samudra tIre nadyAm ca gozWe devAlaye api vA // LiS _1,85.93 //
   śucau deśe gṛhe vāpi kāle siddhikare tithau /	SucO deSe gRhe vA api kAle sidDi kare tiTO /
   nakṣatre śubhayoge ca sarvadā doṣavarjite // LiP_1,85.94 //	nakzatre SuBa yoge ca sarvadA doza varjite // LiS _1,85.94 //
   anugṛhya tato dadyāc chivajñānam anuttamam /	anugRhya tatas dadyAt Siva jQAnam anuttamam /
   svareṇoccārayet samyag ekānte 'pi prasannadhīḥ // LiP_1,85.95 //	svareNa uccArayet samyak ekAnte api prasanna DIH // LiS _1,85.95 //
   uccāryoccārayitvā tu ācāryaḥ siddhidaḥ svayam /	uccArya uccArayitvA tu AcAryaH sidDi daH svayam /
   śivaṃ cāstu śubhaṃ cāstu śobhano 'stu priyo 'stviti // LiP_1,85.96 //	Sivam ca astu SuBam ca astu SoBanaH astu priyaH astu iti // LiS _1,85.96 //
   evaṃ labdhvā paraṃ mantraṃ jñānaṃ caiva gurostataḥ /	evam labDvA param mantram jQAnam ca eva guroH tatas /
   japennityaṃ sasaṃkalpaṃ puraścaraṇameva ca // LiP_1,85.97 //	japet nityam sa saMkalpam puraScaraNam eva ca // LiS _1,85.97 //
   yāvajjīvaṃ japennityam aṣṭottarasahasrakam /	yAvajjIvam japet nityam azwottarasahasrakam /
   anaśnaṃstatparo bhūtvā sa yāti paramāṃ gatim // LiP_1,85.98 //	anaSnan= tatparaH BUtvA sa yAti paramAm gatim // LiS _1,85.98 //
   japedakṣaralakṣaṃ vai caturguṇitamādarāt /	japet akzara lakzam vE catur guNitam AdarAt /
   naktāśī saṃyamī yaś ca pauraścaraṇikaḥ smṛtaḥ // LiP_1,85.99 //	nakta ASI saMyamI yaH ca pOraScaraNikaH smRtaH // LiS _1,85.99 //
   puraścaraṇajāpī vā api vā nityajāpakaḥ /	puraScaraNa jApI vA api vA nitya jApakaH /
   acirātsiddhikāṅkṣī tu tayoranyataro bhavet // LiP_1,85.100 //	acirAt sidDi kAFkzI tu tayoH anyataraH Bavet // LiS _1,85.100 //
   <japa>	<japa>
   yaḥ puraścaraṇaṃ kṛtvā nityajāpī bhavennaraḥ /	yaH puraScaraNam kRtvA nitya jApI Bavet naraH /
   tasya nāsti samo loke sa siddhaḥ siddhido vaśī // LiP_1,85.101 //	tasya na asti samaH loke sa sidDaH sidDi daH vaSI // LiS _1,85.101 //
   āsanaṃ ruciraṃ baddhvā maunī caikāgramānasaḥ /	Asanam ruciram badDvA mOnI ca ekAgra mAnasaH /
   prāṅmukhodaṅmukho vāpi japenmantramanuttamam // LiP_1,85.102 //	prAFmuKa udaFmuKaH vA api japet mantram anuttamam // LiS _1,85.102 //
   ādyāntayor japasyāpi kuryādvai prāṇasaṃyamān /	Adya antayoH japasya api kuryAt vE prANa saMyamAn /
   tathā cānte japedbījaṃ śatamaṣṭottaraṃ śubham // LiP_1,85.103 //	taTA ca ante japet bIjam Satam azwa uttaram SuBam // LiS _1,85.103 //
   catvāriṃśatsamāvṛtti prāṇānāyamya saṃsmaret /	catvAriMSat samAvRtti prANAn Ayamya saMsmaret /
   pañcākṣarasya mantrasya prāṇāyāma udāhṛtaḥ // LiP_1,85.104 //	paQcAkzarasya mantrasya prANAyAmaH udAhRtaH // LiS _1,85.104 //
   prāṇāyāmādbhavetkṣipraṃ sarvapāpaparikṣayaḥ /	prANAyAmAt Bavet kzipram sarva pApa parikzayaH /
   indriyāṇāṃ vaśitvaṃ ca tasmātprāṇāṃś ca saṃyamet // LiP_1,85.105 //	indriyANAm vaSitvam ca tasmAt prANAn ca saMyamet // LiS _1,85.105 //
   gṛhe japaḥ samaṃ vidyād goṣṭhe śataguṇaṃ bhavet /	gRhe japaH samam vidyAt gozWe SataguNam Bavet /
   nadyāṃ śatasahasraṃ tu anantaḥ śivasannidhau // LiP_1,85.106 //	nadyAm Sata sahasram tu anantaH Siva sanniDO // LiS _1,85.106 //
   samudratīre devahrade girau devālayeṣu ca /	samudra tIre devahrade girO devAlayezu ca /
   puṇyāśrameṣu sarveṣu japaḥ koṭiguṇo bhavet // LiP_1,85.107 //	puNya ASramezu sarvezu japaH kowi guNaH Bavet // LiS _1,85.107 //
   śivasya saṃnidhāne ca sūryasyāgre gurorapi /	Sivasya saMniDAne ca sUryasya agre guroH api /
   dīpasya gorjalasyāpi japakarma praśasyate // LiP_1,85.108 //	dIpasya goH jalasya api japa karma praSasyate // LiS _1,85.108 //
   aṅgulījapasaṃkhyānam ekamekaṃ śubhānane /	aFgulI japa saMKyAnam ekam ekam SuBa Anane /
   rekhairaṣṭaguṇaṃ proktaṃ putrajīvaphalair daśa // LiP_1,85.109 //	reKEH azwaguNam proktam putrajIva PalEH daSa // LiS _1,85.109 //
   śataṃ vai śaṅkhamaṇibhiḥ pravālaiś ca sahasrakam /	Satam vE SaFKa maNiBiH pravAlEH ca sahasrakam /
   sphāṭikair daśasāhasraṃ mauktikairlakṣamucyate // LiP_1,85.110 //	sPAwikEH daSa sAhasram mOktikEH lakzam ucyate // LiS _1,85.110 //
   padmākṣairdaśalakṣaṃ tu sauvarṇaiḥ koṭirucyate /	padma akzEH daSa lakzam tu sOvarNEH kowiH ucyate /
   kuśagranthyā ca rudrākṣair anantaguṇamucyate // LiP_1,85.111 //	kuSa granTyA ca rudrAkzEH ananta guNam ucyate // LiS _1,85.111 //
   pañcaviṃśati mokṣārthaṃ saptaviṃśati pauṣṭikam /	paQcaviMSati mokza arTam saptaviMSati pOzwikam /
   triṃśacca dhanasaṃpattyai pañcāśaccābhicārikam // LiP_1,85.112 //	triMSat ca Dana saMpattyE paQcASat ca ABicArikam // LiS _1,85.112 //
   tatpūrvābhimukhaṃ vaśyaṃ dakṣiṇaṃ cābhicārikam /	tad pUrva aBimuKam vaSyam dakziNam ca ABicArikam /
   paścimaṃ dhanadaṃ vidyād uttaraṃ śāntikaṃ bhavet // LiP_1,85.113 //	paScimam Danadam vidyAt uttaram SAntikam Bavet // LiS _1,85.113 //
   aṅguṣṭhaṃ mokṣadaṃ vidyāt tarjanī śatrunāśanī /	aFguzWam mokza dam vidyAt tarjanI Satru nASanI /
   madhyamā dhanadā śāntiṃ karotyeṣā hy anāmikā // LiP_1,85.114 //	maDyamA DanadA SAntim karoti ezA hi anAmikAH // LiS _1,85.114 //
   kaniṣṭhā rakṣaṇīyā sā japakarmaṇi śobhane /	kanizWA rakzaNIyA sA japa karmaNi SoBane /
   aṅguṣṭhena japejjapyam anyairaṅgulibhiḥ saha // LiP_1,85.115 //	aFguzWena japet japyam anyEH aFguliBiH saha // LiS _1,85.115 //
   aṅguṣṭhena vinā karma kṛtaṃ tadaphalaṃ yataḥ /	aFguzWena vinA karma kRtam tat aPalam yatas /
   <japayajña>	<japa yajQa>
   śṛṇuṣva sarvayajñebhyo japayajño viśiṣyate // LiP_1,85.116 //	SRNuzva sarva yajQeByaH japa yajQaH viSizyate // LiS _1,85.116 //
   hiṃsayā te pravartante japayajño na hiṃsayā /	hiMsayA te pravartante japa yajQaH na hiMsayA /
   yāvantaḥ karmayajñāḥ syuḥ pradānāni tapāṃsi ca // LiP_1,85.117 //	yAvantaH karma yajQAH syuH pradAnAni tapAMsi ca // LiS _1,85.117 //
   sarve te japayajñasya kalāṃ nārhanti ṣoḍaśīm /	sarve te japa yajQasya kalAm na arhanti zoxaSIm /
   māhātmyaṃ vācikasyaiva japayajñasya kīrtitam // LiP_1,85.118 //	mAhAtmyam vAcikasya eva japa yajQasya kIrtitam // LiS _1,85.118 //
   tasmācchataguṇopāṃśuḥ sahasro mānasaḥ smṛtaḥ /	tasmAt SataguNa upAMSuH sahasraH mAnasaH smRtaH /
   yad uccanīcasvaritaiḥ śabdaiḥ spaṣṭapadākṣaraiḥ // LiP_1,85.119 //	yat ucca nIca svaritEH SabdEH spazwa pada akzarEH // LiS _1,85.119 //
   mantramuccārayedvācā japayajñaḥ sa vācikaḥ /	mantram uccArayet vAcA japa yajQaH sa vAcikaH /
   śanairuccārayenmantram īṣad oṣṭhau tu cālayet // LiP_1,85.120 //	SanEs uccArayet mantram Izat ozWO tu cAlayet // LiS _1,85.120 //
   kiṃcit karṇāntaraṃ vidyād upāṃśuḥ sa japaḥ smṛtaḥ /	kiMcid karNa antaram vidyAt upAMSuH sa japaH smRtaH /
   <mānasajapa>	<mAnasa japa>
   dhiyā yadakṣaraśreṇyā varṇādvarṇaṃ padātpadam // LiP_1,85.121 //	DiyA yat akzara SreNyA varNAt varNam padAt padam // LiS _1,85.121 //
   śabdārthaṃ cintayedbhūyaḥ sa tūkto mānaso japaḥ /	Sabda arTam cintayet BUyas sa tu uktaH mAnasaH japaH /
   trayāṇāṃ japayajñānāṃ śreyān syāduttarottaraḥ // LiP_1,85.122 //	trayANAm japa yajQAnAm SreyAn syAt uttarottaraH // LiS _1,85.122 //
   bhavedyajñaviśeṣeṇa vaiśiṣṭyaṃ tatphalasya ca /	Bavet yajQa viSezeNa vESizwyam tad Palasya ca /
   japena devatā nityaṃ stūyamānā prasīdati // LiP_1,85.123 //	japena devatA nityam stUyamAnA prasIdati // LiS _1,85.123 //
   prasannā vipulān bhogān dadyānmuktiṃ ca śāśvatīm /	prasannAH vipulAn BogAn dadyAt muktim ca SASvatIm /
   yakṣarakṣaḥpiśācāś ca grahāḥ sarve ca bhīṣaṇāḥ /	yakza rakzaH piSAcAH ca grahAH sarve ca BIzaNAH /
   jāpinaṃ nopasarpanti bhayabhītāḥ samantataḥ // LiP_1,85.124 //	jApinam na upasarpanti Baya BItAH samantataH // LiS _1,85.124 //
   japena pāpaṃ śamayedaśeṣaṃ yattatkṛtaṃ janmaparaṃparāsu /*	japena pApam Samayet aSezam yat tat kRtam janma paraMparAsu /*
   japena bhogān jayate ca mṛtyuṃ japena siddhiṃ labhate ca muktim //	japena BogAn jayate ca mRtyum japena sidDim laBate ca muktim //
   LiP_1,85.125 //*	LiS _1,85.125 //*
   evaṃ labdhvā śivaṃ jñānaṃ jñātvā japavidhikramam // LiP_1,85.126 //	evam labDvA Sivam jQAnam jQAtvA japa viDi kramam // LiS _1,85.126 //
   sadācārī japannityaṃ dhyāyan bhadraṃ samaśnute /	sat AcArI japat nityam DyAyan Badram samaSnute /
   <sadācāra>	<sat AcAra>
   sadācāraṃ pravakṣyāmi samyagdharmasya sādhanam // LiP_1,85.127 //	sat AcAram pravakzyAmi samyak Darmasya sADanam // LiS _1,85.127 //
   yasmādācārahīnasya sādhanaṃ niṣphalaṃ bhavet /	yasmAt AcAra hInasya sADanam nizPalam Bavet /
   ācāraḥ paramo dharma ācāraḥ paramaṃ tapaḥ // LiP_1,85.128 //	AcAraH paramaH DarmaH AcAraH paramam tapaH // LiS _1,85.128 //
   ācāraḥ paramā vidyā ācāraḥ paramā gatiḥ /	AcAraH paramA vidyA AcAraH paramA gatiH /
   sadācāravatāṃ puṃsāṃ sarvatrāpyabhayaṃ bhavet // LiP_1,85.129 //	sat AcAravatAm puMsAm sarvatra api aBayam Bavet // LiS _1,85.129 //
   tadvadācārahīnānāṃ sarvatraiva bhayaṃ bhavet /	tadvat AcAra hInAnAm sarvatra eva Bayam Bavet /
   sadācāreṇa devatvam ṛṣitvaṃ ca varānane // LiP_1,85.130 //	sat AcAreNa deva tvam Rzi tvam ca varAnane // LiS _1,85.130 //
   upayānti kuyonitvaṃ tadvad ācāralaṅghanāt /	upayAnti kuyoni tvam tadvat AcAra laFGanAt /
   ācārahīnaḥ puruṣo loke bhavati ninditaḥ // LiP_1,85.131 //	AcAra hInaH puruzaH loke Bavati ninditaH // LiS _1,85.131 //
   tasmātsaṃsiddhimanvicchan samyagācāravān bhavet /	tasmAt saMsidDim anvicCan samyak AcAravAn Bavet /
   durvṛttaḥ śuddhibhūyiṣṭhaḥ pāpīyān jñānadūṣakaḥ // LiP_1,85.132 //	durvRttaH SudDi BUyizWaH pApIyAn jQAna dUzakaH // LiS _1,85.132 //
   varṇāśramavidhānoktaṃ dharmaṃ kurvīta yatnataḥ // LiP_1,85.133 //	varNa ASrama viDAna uktam Darmam kurvIta yatnatas // LiS _1,85.133 //
   yasya yadvihitaṃ karma tatkurvanmatpriyaḥ sadā /	yasya yat vihitam karma tat kurvat mad priyaH sadA /
   <sandhyā>	<sanDyA>
   saṃdhyopāsanaśīlaḥ syāt sāyaṃ prātaḥ prasannadhīḥ // LiP_1,85.134 //	saMDyA upAsana SIlaH syAt sAyam prAtar prasanna DIH // LiS _1,85.134 //
   udayāstamayātpūrvam āramya vidhinā śuciḥ /	udaya astamayAt pUrvam Aramya viDinA SuciH /
   kāmānmohādbhayāllobhāt saṃdhyāṃ nātikrameddvijaḥ // LiP_1,85.135 //	kAmAt mohAt BayAt loBAt saMDyAm na atikramet dvijaH // LiS _1,85.135 //
   saṃdhyātikramaṇādvipro brāhmaṇyātpatate yataḥ /	saMDyA atikramaNAt vipraH brAhmaNyAt patate yatas /
   asatyaṃ na vadet kiṃcin na satyaṃ ca parityajet // LiP_1,85.136 //	asatyam na vadet kiMcid na satyam ca parityajet // LiS _1,85.136 //
   yatsatyaṃ brahma ityāhur asatyaṃ brahmadūṣaṇam /	yat satyam brahma iti AhuH asatyam brahma dUzaNam /
   anṛtaṃ paruṣaṃ śāṭhyaṃ paiśunyaṃ pāpahetukam // LiP_1,85.137 //	anRtam paruzam SAWyam pESunyam pApa hetukam // LiS _1,85.137 //
   paradārānparadravyaṃ parahiṃsāṃ ca sarvadā /	para dArAn para dravyam para hiMsAm ca sarvadA /
   kvaciccāpi na kurvīta vācā ca manasā tathā // LiP_1,85.138 //	kvacid ca api na kurvIta vAcA ca manasA taTA // LiS _1,85.138 //
   <rules for food and a meal>	<ruleH foH foot and a meal>
   śūdrānnaṃ yātayāmānnaṃ naivedyaṃ śrāddhameva ca /	SUdra annam yAta yAma annam nEvedyam SrAdDam eva ca /
   gaṇānnaṃ samudāyānnaṃ rājānnaṃ ca vivarjayet // LiP_1,85.139 //	gaNa annam samudAya annam rAja annam ca vivarjayet // LiS _1,85.139 //
   annaśuddhau sattvaśuddhir na mṛdā na jalena vai /	anna SudDO sattva SudDiH na mRdA na jalena vE /
   sattvaśuddhau bhavetsiddhis tato 'nnaṃ pariśodhayet // LiP_1,85.140 //	sattva SudDO Bavet sidDiH tatas annam pariSoDayet // LiS _1,85.140 //
   rājapratigrahair dagdhān brāhmaṇān brahmavādinaḥ /	rAja pratigrahEH dagDAn brAhmaNAn brahma vAdinaH /
   svinnānāmapi bījānāṃ punarjanma na vidyate // LiP_1,85.141 //	svinnAnAm api bIjAnAm punarjanma na vidyate // LiS _1,85.141 //
   rājapratigraho ghoro buddhvā cādau viṣopamaḥ /	rAja pratigrahaH GoraH budDvA ca AdO viza upamaH /
   budhena parihartavyaḥ śvamāṃsaṃ cāpi varjayet // LiP_1,85.142 //	buDena parihartavyaH Sva mAMsam ca api varjayet // LiS _1,85.142 //
   asnātvā na ca bhuñjīyād ajapo 'gnimapūjya ca /	asnAtvA na ca BuQjIyAt ajapaH agnim apUjya ca /
   parṇapṛṣṭhe na bhuñjīyād rātrau dīpaṃ vinā tathā // LiP_1,85.143 //	parNa pRzWe na BuQjIyAt rAtrO dIpam vinA taTA // LiS _1,85.143 //
   bhinnabhāṇḍe ca rathyāyāṃ patitānāṃ ca saṃnidhau /	Binna BANxe ca raTyAyAm patitAnAm ca saMniDO /
   śūdraśeṣaṃ na bhuñjīyāt sahānnaṃ śiśukairapi // LiP_1,85.144 //	SUdra Sezam na BuQjIyAt saha annam SiSukEH api // LiS _1,85.144 //
   śuddhānnaṃ snigdham aśnīyāt saṃskṛtaṃ cābhimantritam /	SudDa annam snigDam aSnIyAt saMskRtam ca aBimantritam /
   bhoktā śiva iti smṛtvā maunī caikāgramānasaḥ // LiP_1,85.145 //	BoktA SivaH iti smRtvA mOnI ca ekAgra mAnasaH // LiS _1,85.145 //
   āsyena na pibettoyaṃ tiṣṭhannañjalināpi vā /	Asyena na pibet toyam tizWan= aQjalinA api vA /
   vāmahastena śayyāyāṃ tathaivānyaṃkareṇa vā // LiP_1,85.146 //	vAma hastena SayyAyAm taTA eva anyaMkareNa vA // LiS _1,85.146 //
   vibhītakārkakārañja  snuhicchāyāṃ na cāśrayet /	viBItaka arkakAraQja snuhi= CAyAm na ca ASrayet /
   staṃbhadīpamanuṣyāṇām anyeṣāṃ prāṇināṃ tathā // LiP_1,85.147 //	staMBa dIpa manuzyANAm anyezAm prANinAm taTA // LiS _1,85.147 //
   eko na gacchedadhvānaṃ bāhubhyāṃ nottarennadīm /	ekaH na gacCet aDvAnam bAhuByAm na uttaret nadIm /
   nāvaroheta kūpādiṃ nāroheduccapādapān // LiP_1,85.148 //	na avaroheta kUpa Adim na Arohet ucca pAdapAn // LiS _1,85.148 //
   sūryāgnijaladevānāṃ gurūṇāṃ vimukhaḥ śubhe /	sUrya agni jala devAnAm gurUNAm vimuKaH SuBe /
   na kuryādiha kāryāṇi japakarma śubhāni vā // LiP_1,85.149 //	na kuryAt iha kAryANi japa karma SuBAni vA // LiS _1,85.149 //
   agnau na tāpayetpādau hastaṃ padbhyāṃ na saṃspṛśet /	agnO na tApayet pAdO hastam padByAm na saMspRSet /
   agnernocchrayam āsīta nāgnau kiṃcin malaṃ tyajet // LiP_1,85.150 //	agneH na ucCrayam AsIta na agnO kiMcid malam tyajet // LiS _1,85.150 //
   na jalaṃ tāḍayetpadbhyāṃ nāṃbhasyaṅgamalaṃ tyajet /	na jalam tAxayet padByAm na aMBasi aFga malam tyajet /
   malaṃ prakṣālayet tīre prakṣālya snānamācaret // LiP_1,85.151 //	malam prakzAlayet tIre prakzAlya snAnam Acaret // LiS _1,85.151 //
   nakhāgrakeśanirdhūta  snānavastraghaṭodakam /	naKa agra keSa nirDUta snAna vastra Gawa udakam /
   aśrīkaraṃ manuṣyāṇām aśuddhaṃ saṃspṛśedyadi // LiP_1,85.152 //	aSrIkaram manuzyANAm aSudDam saMspRSet yadi // LiS _1,85.152 //
   <no pets!>	<naH pets!>
   ajāśvānakhuroṣṭrāṇāṃ mārjanāt tuṣareṇukān /	ajA SvAna Kura uzwrANAm mArjanAt tuza reNukAn /
   saṃspṛśed yadi mūḍhātmā śriyaṃ hanti harerapi // LiP_1,85.153 //	saMspRSet yadi mUXa AtmA Sriyam hanti hareH api // LiS _1,85.153 //
   mārjāraś ca gṛhe yasya so 'pyantyajasamo naraḥ /	mArjAraH ca gRhe yasya saH api antyaja samaH naraH /
   bhojayedyastu viprendrān mārjārasaṃnidhau yadi // LiP_1,85.154 //	Bojayet yaH tu vipra indrAn mArjAra saMniDO yadi // LiS _1,85.154 //
   taccāṇḍālasamaṃ jñeyaṃ nātra kāryā vicāraṇā /	tat cANxAla samam jQeyam na atra kAryA vicAraNA /
   sphigvātaṃ śūrpavātaṃ ca vātaṃ prāṇamukhānilam // LiP_1,85.155 //	sPic vAtam SUrpa vAtam ca vAtam prANa muKa anilam // LiS _1,85.155 //
   sukṛtāni harantyete saṃspṛṣṭāḥ puruṣasya tu /	sukRtAni haranti ete saMspRzwAH puruzasya tu /
   uṣṇīṣī kañcukī nagno muktakeśo malāvṛtaḥ // LiP_1,85.156 //	uzNIzI kaQcukI nagnaH muktakeSaH mala AvRtaH // LiS _1,85.156 //
   apavitrakaro 'śuddhaḥ pralapanna japet kvacit /	apavitra karaH aSudDaH pralapan na japet kvacid /
   krodho madaḥ kṣudhā tandrā niṣṭhīvanavijṛmbhaṇe // LiP_1,85.157 //	kroDaH madaH kzuDA tandrA nizWIvana vijRmBaNe // LiS _1,85.157 //
   śvanīcadarśanaṃ nidrā pralāpāste japadviṣaḥ /	Sva nIca darSanam nidrA pralApAH te japa dvizaH /
   eteṣāṃ saṃbhave vāpi kuryātsūryādidarśanam // LiP_1,85.158 //	etezAm saMBave vA api kuryAt sUrya Adi darSanam // LiS _1,85.158 //
   ācamya vā japeccheṣaṃ kṛtvā vā prāṇasaṃyamam /	Acamya vA japet Sezam kRtvA vA prANa saMyamam /
   sūryo 'gniścandramāścaiva grahanakṣatratārakāḥ // LiP_1,85.159 //	sUryaH agniH candramAH ca eva graha nakzatra tArakAH // LiS _1,85.159 //
   ete jyotīṃṣi proktāni vidvadbhir brāhmaṇais tathā /	ete jyotIMzi proktAni vidvadBiH brAhmaNEH taTA /
   prasārya pādau na japet kukkuṭāsana eva ca // LiP_1,85.160 //	prasArya pAdO na japet kukkuwa AsanaH eva ca // LiS _1,85.160 //
   <performing āsana>	<perfa Urming Asana>
   anāsanaḥ śayāno vā rathyāyāṃ śūdrasannidhau /	anAsanaH SayAnaH vA raTyAyAm SUdra sanniDO /
   raktabhūmyāṃ ca khaṭvāyāṃ na japejjāpakas tathā // LiP_1,85.161 //	rakta BUmyAm ca KawvAyAm na japet jApakaH taTA // LiS _1,85.161 //
   āsanastho japetsamyak mantrārthagatamānasaḥ /	Asana sTaH japet samyak mantra arTa gata mAnasaH /
   kauśeyaṃ vyāghracarmaṃ vā cailaṃ taulamathāpi vā // LiP_1,85.162 //	kOSeyam vyAGra carmam vA cElam tOlam aTa api vA // LiS _1,85.162 //
   dāravaṃ tālaparṇaṃ vā āsanaṃ parikalpayet /	dAravam tAlaparNam vA Asanam parikalpayet /
   trisaṃdhyaṃ tu guroḥ pūjā kartavyā hitamicchatā // LiP_1,85.163 //	trisaMDyam tu guroH pUjA kartavyA hitam icCatA // LiS _1,85.163 //
   yo guruḥ sa śivaḥ prokto yaḥ śivaḥ sa guruḥ smṛtaḥ /	yaH guruH sa SivaH proktaH yaH SivaH sa guruH smRtaH /
   yathā śivas tathā vidyā yathā vidyā tathā guruḥ // LiP_1,85.164 //	yaTA SivaH taTA vidyA yaTA vidyA taTA guruH // LiS _1,85.164 //
   śivavidyāgurostasmād bhaktyā ca sadṛśaṃ phalam /	Siva vidyA guroH tasmAt BaktyA ca sadRSam Palam /
   sarvadevamayo devi sarvaśaktimayo hi saḥ // LiP_1,85.165 //	sarva deva mayaH devi sarva Sakti mayaH hi saH // LiS _1,85.165 //
   saguṇo nirguṇo vāpi tasyājñāṃ śirasā vahet /	sa guNaH nirguNaH vA api tasya AjQAm SirasA vahet /
   śreyo 'rthī yastu gurvājñāṃ manasāpi na laṅghayet // LiP_1,85.166 //	SreyaH arTI yaH tu guru AjQAm manasA api na laFGayet // LiS _1,85.166 //
   gurvājñāpālakaḥ samyak jñānasaṃpattimaśnute /	guru AjQA pAlakaH samyak jQAna saMpattim aSnute /
   gacchaṃstiṣṭhansvapan bhuñjan yadyatkarma samācaret // LiP_1,85.167 //	gacCan= tizWan svapan BuQjan yat yat karma samAcaret // LiS _1,85.167 //
   samakṣaṃ yadi tatsarvaṃ kartavyaṃ gurvanujñayā /	samakzam yadi tat sarvam kartavyam guru anujQayA /
   gurordevasamakṣaṃ vā na yatheṣṭāsano bhavet // LiP_1,85.168 //	guroH deva samakzam vA na yaTA izwa AsanaH Bavet // LiS _1,85.168 //
   gururdevo yataḥ sākṣāt tadgṛhaṃ devamandiram /	guruH devaH yatas sAkzAt tad gRham deva mandiram /
   pāpinā ca yathāsaṃgāt tatpāpaiḥ patanaṃ bhavet // LiP_1,85.169 //	pApinA ca yaTA saMgAt tad pApEH patanam Bavet // LiS _1,85.169 //
   tadvadācāryasaṃgena taddharmaphalabhāgbhavet /	tadvat AcArya saMgena tad Darma Pala BAj Bavet /
   yathaiva vahnisaṃparkān malaṃ tyajati kāñcanam // LiP_1,85.170 //	yaTA eva vahni saMparkAt malam tyajati kAQcanam // LiS _1,85.170 //
   tathaiva gurusaṃparkāt pāpaṃ tyajati mānavaḥ /	taTA eva guru saMparkAt pApam tyajati mAnavaH /
   yathā vahnisamīpastho ghṛtakuṃbho vilīyate // LiP_1,85.171 //	yaTA vahni samIpa sTaH GRta kuMBaH vilIyate // LiS _1,85.171 //
   tathā pāpaṃ vilīyeta ācāryasya samīpataḥ /	taTA pApam vilIyeta AcAryasya samIpatas /
   yathā prajvalito vahnir viṣṭhāṃ kāṣṭhaṃ ca nirdahet // LiP_1,85.172 //	yaTA prajvalitaH vahniH vizWAm kAzWam ca nirdahet // LiS _1,85.172 //
   gurustuṣṭo dahatyevaṃ pāpaṃ tanmantratejasā /	guruH tuzwaH dahati evam pApam tad mantra tejasA /
   brahmā haris tathā rudro devāś ca munayas tathā // LiP_1,85.173 //	brahmA hariH taTA rudraH devAH ca munayaH taTA // LiS _1,85.173 //
   kurvantyanugrahaṃ tuṣṭā gurau tuṣṭe na saṃśayaḥ /	kurvanti anugraham tuzwA gurO tuzwe na saMSayaH /
   karmaṇā manasā vācā guroḥ krodhaṃ na kārayet // LiP_1,85.174 //	karmaNA manasA vAcA guroH kroDam na kArayet // LiS _1,85.174 //
   tasya krodhena dahyante āyuḥśrījñānasatkriyāḥ /	tasya kroDena dahyante AyuH SrI jQAna satkriyAH /
   tatkrodhaṃ ye kariṣyanti teṣāṃ yajñāś ca niṣphalāḥ // LiP_1,85.175 //	tat kroDam ye karizyanti tezAm yajQAH ca nizPalAH // LiS _1,85.175 //
   japānyaniyamāścaiva nātra kāryā vicāraṇā /	japa anya niyamAH ca eva na atra kAryA vicAraNA /
   gurorviruddhaṃ yadvākyaṃ na vadetsarvayatnataḥ // LiP_1,85.176 //	guroH virudDam yat vAkyam na vadet sarva yatnataH // LiS _1,85.176 //
   vaded yadi mahāmohād rauravaṃ narakaṃ vrajet /	vadet yadi mahA mohAt rOravam narakam vrajet /
   cittenaiva ca vittena tathā vācā ca suvratāḥ // LiP_1,85.177 //	cittena eva ca vittena taTA vAcA ca suvratAH // LiS _1,85.177 //
   mithyā na kārayeddevi kriyayā ca guroḥ sadā /	miTyA na kArayet devi kriyayA ca guroH sadA /
